"tau_k","epsilon","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.3,0.05,200,82.5868,0.3374,NA,NA,103.946,0.397,0.5,0,101.7888,0.462,0.5,0,105.0509,0.4204,0.5,0,112.5264,0.6567,0.5,0,104.8659,0.4196,0.4975,0,105.0589,0.4209,0.4871,6e-04,112.5247,0.6566,0.4921,4e-04,104.8461,0.4165,0.5224,0.001,0.5043,2e-04,0.5026,1e-04,0.4901,3e-04,0.6975,0.0088,0.2071,0.0041,0.7017,0.0087,0.1992,0.0031,0.0128,0.0102,0.008,0.0185,-0.0017,0.0033,-0.0198,0.0176,7.4755,0.3491,7.4658,0.3475,-0.185,0.0373,-0.2128,0.0358,10.7358,0.3299
0.3,0.2,200,84.219,0.345,NA,NA,106.6917,0.3996,0.5,0,104.371,0.4649,0.5,0,107.8185,0.4225,0.5,0,115.3324,0.6543,0.5,0,107.6244,0.4214,0.4975,0,107.8307,0.4222,0.4742,8e-04,115.3524,0.6549,0.4751,8e-04,107.618,0.4201,0.5108,0.001,0.5086,3e-04,0.5083,3e-04,0.4939,3e-04,0.6975,0.0088,0.2022,0.0041,0.7118,0.0084,0.2084,0.003,0.0128,0.0102,0.0122,0.0264,0.0201,0.007,-0.0064,0.0147,7.5139,0.3454,7.5217,0.3466,-0.194,0.0381,-0.2127,0.033,10.9814,0.3271
0.3,0.5,200,87.1974,0.3601,NA,NA,111.7124,0.4054,0.5,0,109.103,0.4709,0.5,0,112.885,0.4282,0.5,0,120.4435,0.651,0.5,0,112.6711,0.427,0.4975,0,112.9717,0.4266,0.4466,0.0011,120.5301,0.6498,0.4366,0.0014,112.6796,0.4276,0.478,0.0012,0.5178,4e-04,0.5211,5e-04,0.5048,4e-04,0.6975,0.0088,0.1977,0.0041,0.7331,0.0076,0.2406,0.0027,0.0128,0.0102,0.0867,0.0319,0.0866,0.0116,0.0085,0.0207,7.5585,0.3399,7.5583,0.3387,-0.2139,0.0386,-0.2921,0.0345,11.4271,0.3202
0.3,0.8,200,89.849,0.375,NA,NA,116.1925,0.4119,0.5,0,113.34,0.4771,0.5,0,117.3927,0.435,0.5,0,124.9721,0.6491,0.5,0,117.1629,0.4338,0.4975,0,117.6152,0.4339,0.4192,0.0014,125.2037,0.646,0.3998,0.0018,117.2375,0.4362,0.4274,0.0013,0.527,5e-04,0.5334,6e-04,0.5216,4e-04,0.6975,0.0088,0.2131,0.0039,0.7572,0.0069,0.2953,0.0023,0.0128,0.0102,0.2225,0.0376,0.2316,0.0148,0.0746,0.0339,7.5794,0.3343,7.5885,0.3304,-0.2299,0.0378,-0.3777,0.036,11.8637,0.312
1,0.05,200,82.5868,0.3374,NA,NA,103.946,0.397,0.5,0,101.7888,0.462,0.5,0,105.0509,0.4204,0.5,0,111.0909,0.6562,0.5,0,104.8659,0.4196,0.4975,0,105.0589,0.4209,0.4871,6e-04,111.0904,0.6563,0.4929,4e-04,104.8461,0.4165,0.5224,0.001,0.5043,2e-04,0.5024,1e-04,0.4901,3e-04,0.6034,0.012,0.2071,0.0041,0.6111,0.012,0.1992,0.0031,0.0128,0.0102,0.008,0.0185,-5e-04,0.0058,-0.0198,0.0176,6.04,0.3529,6.0315,0.3518,-0.185,0.0373,-0.2128,0.0358,9.3015,0.334
1,0.2,200,84.219,0.345,NA,NA,106.6917,0.3996,0.5,0,104.371,0.4649,0.5,0,107.8185,0.4225,0.5,0,113.8808,0.6553,0.5,0,107.6244,0.4214,0.4975,0,107.8307,0.4222,0.4742,8e-04,113.8968,0.6548,0.4748,8e-04,107.618,0.4201,0.5108,0.001,0.5086,3e-04,0.5084,3e-04,0.4939,3e-04,0.6034,0.012,0.2022,0.0041,0.6251,0.0118,0.2084,0.003,0.0128,0.0102,0.0122,0.0264,0.0159,0.0111,-0.0064,0.0147,6.0624,0.3514,6.0661,0.3513,-0.194,0.0381,-0.2127,0.033,9.5258,0.331
1,0.5,200,87.1974,0.3601,NA,NA,111.7124,0.4054,0.5,0,109.103,0.4709,0.5,0,112.885,0.4282,0.5,0,118.9394,0.6527,0.5,0,112.6711,0.427,0.4975,0,112.9717,0.4266,0.4466,0.0011,119.0419,0.6515,0.4363,0.0013,112.6796,0.4276,0.478,0.0012,0.5178,4e-04,0.5212,4e-04,0.5048,4e-04,0.6034,0.012,0.1977,0.0041,0.6545,0.0119,0.2406,0.0027,0.0128,0.0102,0.0867,0.0319,0.1025,0.0172,0.0085,0.0207,6.0544,0.3466,6.0701,0.3462,-0.2139,0.0386,-0.2921,0.0345,9.9389,0.3266
1,0.8,200,89.849,0.375,NA,NA,116.1925,0.4119,0.5,0,113.34,0.4771,0.5,0,117.3927,0.435,0.5,0,123.4402,0.6511,0.5,0,117.1629,0.4338,0.4975,0,117.6152,0.4339,0.4192,0.0014,123.6883,0.6492,0.3962,0.0016,117.2375,0.4362,0.4274,0.0013,0.527,5e-04,0.5346,5e-04,0.5216,4e-04,0.6034,0.012,0.2131,0.0039,0.6882,0.0115,0.2953,0.0023,0.0128,0.0102,0.2225,0.0376,0.2482,0.0213,0.0746,0.0339,6.0475,0.3411,6.0731,0.3406,-0.2299,0.0378,-0.3777,0.036,10.3483,0.3212
3,0.05,200,82.5868,0.3374,NA,NA,103.946,0.397,0.5,0,101.7888,0.462,0.5,0,105.0509,0.4204,0.5,0,108.3324,0.6189,0.5,0,104.8659,0.4196,0.4975,0,105.0589,0.4209,0.4871,6e-04,108.3005,0.6196,0.4916,5e-04,104.8461,0.4165,0.5224,0.001,0.5043,2e-04,0.5028,2e-04,0.4901,3e-04,0.423,0.0126,0.2071,0.0041,0.4324,0.0129,0.1992,0.0031,0.0128,0.0102,0.008,0.0185,-0.0319,0.015,-0.0198,0.0176,3.2815,0.3301,3.2416,0.3303,-0.185,0.0373,-0.2128,0.0358,6.5117,0.3207
3,0.2,200,84.219,0.345,NA,NA,106.6917,0.3996,0.5,0,104.371,0.4649,0.5,0,107.8185,0.4225,0.5,0,111.0885,0.6182,0.5,0,107.6244,0.4214,0.4975,0,107.8307,0.4222,0.4742,8e-04,111.0875,0.6189,0.4773,7e-04,107.618,0.4201,0.5108,0.001,0.5086,3e-04,0.5076,2e-04,0.4939,3e-04,0.423,0.0126,0.2022,0.0041,0.4381,0.0132,0.2084,0.003,0.0128,0.0102,0.0122,0.0264,-0.001,0.0185,-0.0064,0.0147,3.2701,0.3276,3.2569,0.331,-0.194,0.0381,-0.2127,0.033,6.7165,0.3194
