"rho_kr","k_shape","n_trials","tau_k_mean","tau_k_se","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
-0.5,1.3,200,0.3,0,86.7099,0.2041,NA,NA,115.6315,0.3399,0.5,0,115.011,0.4209,0.5,0,118.9378,0.4304,0.5,0,141.8719,0.9668,0.5,0,118.5622,0.4251,0.4975,0,118.9204,0.4288,0.4848,7e-04,141.8717,0.9669,0.493,4e-04,118.5611,0.4278,0.4972,0.0014,0.5051,2e-04,0.5023,1e-04,0.4984,5e-04,0.8568,0.0053,0.2875,0.0043,0.8574,0.0052,0.3074,0.0043,-0.4613,0.0084,-0.0175,0.0346,-1e-04,0.0037,-0.0011,0.0324,22.934,0.7151,22.9513,0.7159,-0.3757,0.0691,-0.3593,0.0689,26.8607,0.7341
-0.5,2,200,0.3,0,79.0395,0.1527,NA,NA,101.6981,0.2391,0.5,0,99.22,0.2943,0.5,0,103.4487,0.2797,0.5,0,112.557,0.5734,0.5,0,103.2632,0.2749,0.4975,0,103.4091,0.277,0.4812,7e-04,112.5585,0.572,0.4881,5e-04,103.2371,0.2755,0.5213,0.001,0.5063,2e-04,0.504,2e-04,0.4904,3e-04,0.7154,0.0081,0.203,0.004,0.7215,0.0078,0.1924,0.0026,-0.4613,0.0084,-0.0396,0.0212,0.0014,0.0056,-0.0261,0.0208,9.1083,0.37,9.1494,0.3717,-0.1855,0.0367,-0.172,0.0359,13.3385,0.38
-0.5,3.5,200,0.3,0,72.211,0.1131,NA,NA,89.8259,0.1388,0.5,0,86.2128,0.1689,0.5,0,90.7279,0.1521,0.5,0,92.7719,0.2165,0.5,0,90.6382,0.1501,0.4975,0,90.7492,0.1518,0.4735,9e-04,92.7777,0.2164,0.4882,5e-04,90.6287,0.15,0.5334,9e-04,0.5088,3e-04,0.5039,2e-04,0.4864,3e-04,0.3903,0.0072,0.1611,0.0041,0.3974,0.0074,0.1447,0.0014,-0.4613,0.0084,0.0212,0.012,0.0058,0.005,-0.0095,0.0135,2.044,0.0897,2.0285,0.0902,-0.0897,0.0188,-0.1205,0.0189,6.5649,0.1179
0,1.3,200,0.3,0,93.5279,0.4929,NA,NA,121.4381,0.5965,0.5,0,121.6501,0.6968,0.5,0,123.9407,0.6616,0.5,0,145.002,1.1343,0.5,0,123.6287,0.6678,0.4975,0,123.9322,0.6627,0.4861,9e-04,145.0078,1.134,0.4928,5e-04,123.6289,0.6681,0.496,0.0017,0.5046,3e-04,0.5024,2e-04,0.4988,6e-04,0.8578,0.005,0.3131,0.0063,0.8592,0.0049,0.3374,0.0058,0.0128,0.0102,-0.0085,0.029,0.0058,0.0046,2e-04,0.0319,21.0613,0.732,21.0755,0.7358,-0.3121,0.0656,-0.3034,0.0639,23.3576,0.7199
0,2,200,0.3,0,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.4834,0.656,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.4871,0.656,0.4865,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5045,2e-04,0.4912,3e-04,0.6975,0.0088,0.2051,0.0041,0.7052,0.0086,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0037,0.0043,-0.0138,0.0172,7.4888,0.3485,7.4804,0.3465,-0.1943,0.037,-0.2201,0.034,10.8201,0.3294
0,3.5,200,0.3,0,74.3047,0.2216,NA,NA,91.2768,0.2298,0.5,0,87.7989,0.2553,0.5,0,91.8779,0.2379,0.5,0,93.3712,0.2812,0.5,0,91.7901,0.2394,0.4975,0,91.9172,0.2386,0.473,9e-04,93.3833,0.282,0.4872,5e-04,91.8072,0.238,0.5298,9e-04,0.509,3e-04,0.5042,2e-04,0.4876,3e-04,0.3587,0.0065,0.1649,0.0042,0.3666,0.007,0.151,0.0015,0.0128,0.0102,0.0393,0.0081,0.0121,0.0044,0.0171,0.0121,1.4933,0.0758,1.4661,0.0763,-0.0878,0.014,-0.11,0.0153,5.5844,0.092
0.5,1.3,200,0.3,0,104.8934,1.1079,NA,NA,132.2416,1.1719,0.5,0,134.375,1.3068,0.5,0,134.4169,1.2583,0.5,0,152.6922,1.5921,0.5,0,134.3203,1.262,0.4975,0,134.5807,1.2754,0.4814,0.0028,152.7028,1.593,0.4924,5e-04,134.4218,1.2809,0.4834,0.0024,0.5062,9e-04,0.5025,2e-04,0.503,8e-04,0.8616,0.0056,0.3518,0.0107,0.863,0.0055,0.3791,0.0076,0.4772,0.0087,0.1638,0.087,0.0106,0.0051,0.1015,0.0797,18.2753,0.7207,18.1221,0.7189,-0.0966,0.0754,-0.1589,0.0648,18.3279,0.6704
0.5,2,200,0.3,0,89.6752,0.6103,NA,NA,110.682,0.6489,0.5,0,108.9926,0.7196,0.5,0,111.0587,0.6806,0.5,0,116.5712,0.8435,0.5,0,110.7996,0.6705,0.4975,0,111.082,0.681,0.4825,8e-04,116.5739,0.8436,0.486,6e-04,110.7927,0.6711,0.5189,0.0013,0.5058,3e-04,0.5046,2e-04,0.4912,4e-04,0.6824,0.0102,0.205,0.0058,0.6908,0.0099,0.2072,0.0045,0.4772,0.0087,0.0233,0.0224,0.0027,0.0045,-0.0069,0.0204,5.5126,0.3136,5.4919,0.3124,-0.2591,0.0383,-0.2893,0.0417,7.5813,0.2636
0.5,3.5,200,0.3,0,77.3357,0.3187,NA,NA,93.7392,0.3213,0.5,0,90.2289,0.3421,0.5,0,93.966,0.3285,0.5,0,94.8206,0.3496,0.5,0,93.8426,0.3285,0.4975,0,93.9746,0.3286,0.473,8e-04,94.822,0.3495,0.488,6e-04,93.9035,0.3288,0.5332,0.0011,0.509,3e-04,0.504,2e-04,0.4865,4e-04,0.3256,0.0071,0.1617,0.0045,0.3317,0.0074,0.1472,0.0026,0.4772,0.0087,0.0087,0.0067,0.0014,0.0036,0.0608,0.011,0.8546,0.0557,0.8473,0.0555,-0.1233,0.0133,-0.0712,0.0143,4.5931,0.0708
0.8,1.3,200,0.3,0,115.1633,1.663,NA,NA,142.0015,1.7294,0.5,0,145.8479,1.9726,0.5,0,142.5818,1.7525,0.5,0,158.2536,2.1697,0.5,0,142.6038,1.7583,0.4975,0,142.687,1.7484,0.4806,0.0031,158.244,2.1694,0.4918,5e-04,142.6546,1.7551,0.4815,0.0025,0.5065,0.001,0.5027,2e-04,0.5036,8e-04,0.8594,0.006,0.3793,0.0123,0.8609,0.0059,0.4031,0.0087,0.7758,0.0046,0.1052,0.0603,-0.0097,0.0039,0.0508,0.0502,15.6719,0.7446,15.557,0.7423,0.022,0.0591,-0.0324,0.0513,12.3961,0.4964
