"T_rounds","epsilon","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
1,0.05,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.4467,0.0086,0.1778,0.0028,0.4467,0.0086,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,3.9138,0.2443,3.9138,0.2443,-0.0875,0.0231,-0.0875,0.0231,7.9608,0.2474
1,0.15,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.4467,0.0086,0.1778,0.0028,0.4467,0.0086,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,3.9138,0.2443,3.9138,0.2443,-0.0875,0.0231,-0.0875,0.0231,7.9608,0.2474
1,0.3,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.4467,0.0086,0.1778,0.0028,0.4467,0.0086,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,3.9138,0.2443,3.9138,0.2443,-0.0875,0.0231,-0.0875,0.0231,7.9608,0.2474
1,0.55,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.4467,0.0086,0.1778,0.0028,0.4467,0.0086,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,3.9138,0.2443,3.9138,0.2443,-0.0875,0.0231,-0.0875,0.0231,7.9608,0.2474
1,0.85,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.4467,0.0086,0.1778,0.0028,0.4467,0.0086,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,3.9138,0.2443,3.9138,0.2443,-0.0875,0.0231,-0.0875,0.0231,7.9608,0.2474
2,0.05,200,82.5868,0.3374,NA,NA,103.946,0.397,0.5,0,101.7888,0.462,0.5,0,105.0509,0.4204,0.5,0,111.0909,0.6562,0.5,0,104.8659,0.4196,0.4975,0,105.0589,0.4209,0.4871,6e-04,111.0904,0.6563,0.4929,4e-04,104.8461,0.4165,0.5224,0.001,0.5043,2e-04,0.5024,1e-04,0.4901,3e-04,0.6034,0.012,0.2071,0.0041,0.6111,0.012,0.1992,0.0031,0.0128,0.0102,0.008,0.0185,-5e-04,0.0058,-0.0198,0.0176,6.04,0.3529,6.0315,0.3518,-0.185,0.0373,-0.2128,0.0358,9.3015,0.334
2,0.15,200,83.6863,0.3424,NA,NA,105.7952,0.3987,0.5,0,103.5275,0.4639,0.5,0,106.913,0.4217,0.5,0,112.9697,0.6557,0.5,0,106.7208,0.421,0.4975,0,106.9362,0.4226,0.4784,8e-04,112.9813,0.6559,0.481,7e-04,106.714,0.4182,0.5155,0.001,0.5072,3e-04,0.5063,2e-04,0.4924,3e-04,0.6034,0.012,0.2036,0.004,0.6205,0.0118,0.2047,0.003,0.0128,0.0102,0.0233,0.0209,0.0117,0.0091,-0.0067,0.0162,6.0567,0.3521,6.0451,0.3503,-0.1922,0.037,-0.2222,0.0344,9.4538,0.3328
2,0.3,200,85.2519,0.35,NA,NA,108.4315,0.4014,0.5,0,106.009,0.4668,0.5,0,109.5762,0.4239,0.5,0,115.636,0.6542,0.5,0,109.3717,0.4236,0.4975,0,109.5894,0.4226,0.4654,0.001,115.6799,0.654,0.4624,0.001,109.3398,0.4239,0.5008,0.0011,0.5115,3e-04,0.5126,3e-04,0.4972,4e-04,0.6034,0.012,0.2002,0.0041,0.634,0.0119,0.2181,0.003,0.0128,0.0102,0.0131,0.0286,0.0439,0.0125,-0.0319,0.0143,6.0598,0.3504,6.0905,0.3515,-0.2045,0.0387,-0.2496,0.0349,9.6708,0.3295
2,0.55,200,87.6604,0.3626,NA,NA,112.4941,0.4064,0.5,0,109.8412,0.4719,0.5,0,113.6768,0.4293,0.5,0,119.7255,0.6523,0.5,0,113.4526,0.4279,0.4975,0,113.7689,0.4268,0.4422,0.0012,119.841,0.6502,0.4295,0.0013,113.4698,0.4296,0.4701,0.0012,0.5192,4e-04,0.5235,4e-04,0.5074,4e-04,0.6034,0.012,0.2004,0.0039,0.66,0.0118,0.2497,0.0027,0.0128,0.0102,0.0921,0.0336,0.1155,0.0178,0.0172,0.0227,6.0487,0.3453,6.0721,0.3451,-0.2242,0.0387,-0.2991,0.033,9.9998,0.3249
2,0.85,200,90.263,0.3775,NA,NA,116.8929,0.4131,0.5,0,114.0038,0.4781,0.5,0,118.0991,0.436,0.5,0,124.1455,0.6514,0.5,0,117.8628,0.4348,0.4975,0,118.3467,0.4374,0.4144,0.0015,124.4184,0.649,0.3896,0.0017,117.9733,0.4383,0.4172,0.0013,0.5285,5e-04,0.5368,6e-04,0.525,4e-04,0.6034,0.012,0.2163,0.0039,0.6949,0.0113,0.3057,0.0023,0.0128,0.0102,0.2476,0.0373,0.2729,0.0219,0.1105,0.0363,6.0464,0.3412,6.0718,0.338,-0.2363,0.0374,-0.3734,0.0365,10.4146,0.3201
