"T_rounds","epsilon","n_trials","n_steps_mean","n_steps_se","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
5,0.3,200,400,0,236.5167,1.02,NA,NA,269.6256,1.0178,0.2,0,267.467,1.0398,0.2,0,272.4304,1.0697,0.2,0,282.5302,1.2838,0.2,0,272.3425,1.0688,0.2,0,272.8048,1.0642,0.092,5e-04,282.8535,1.278,0.1404,0.0014,272.6597,1.0612,0.1054,5e-04,0.5926,3e-04,0.5542,0.0013,0.5866,3e-04,0.7989,0.0088,0.5091,0.0039,0.8744,0.005,0.3304,0.0031,0.0128,0.0102,0.3744,0.0354,0.3233,0.013,0.3172,0.0375,10.0998,0.4698,10.0487,0.4661,-0.0879,0.0059,-0.1451,0.0113,15.3865,0.4932
5,0.85,200,400,0,279.3776,1.4299,NA,NA,324.4986,1.3889,0.2,0,321.2249,1.385,0.2,0,326.6548,1.4336,0.2,0,335.3083,1.5519,0.2,0,326.5521,1.4319,0.2,0,329.7505,1.4218,0.0095,3e-04,337.2982,1.5288,0.082,0.0022,329.3681,1.4201,0.0524,2e-04,0.6825,3e-04,0.6196,0.0023,0.6617,2e-04,0.7989,0.0088,0.9051,0.0025,0.933,0.0019,0.0418,0.0033,0.0128,0.0102,3.0957,0.0486,1.9899,0.0628,2.816,0.0462,8.6534,0.387,7.5476,0.3472,-0.1028,0.0071,-0.3824,0.0108,16.0732,0.3572
6,0.3,200,400,0,292.7163,1.2939,NA,NA,328.3525,1.2796,0.1667,0,326.0551,1.2883,0.1667,0,331.2623,1.3354,0.1667,0,342.0423,1.5235,0.1667,0,331.169,1.3342,0.167,0,331.8971,1.3237,0.0516,5e-04,342.567,1.5163,0.1102,0.0015,331.7067,1.3216,0.0692,5e-04,0.6215,4e-04,0.5635,0.0017,0.6127,4e-04,0.8312,0.0078,0.6282,0.0041,0.9036,0.0035,0.3017,0.0038,0.0128,0.0102,0.6348,0.0507,0.5247,0.0169,0.5377,0.0512,10.78,0.4756,10.6698,0.4695,-0.0933,0.0172,-0.1904,0.0124,16.5118,0.5096
6,0.85,200,400,0,352.8447,1.9492,NA,NA,402.3233,1.9015,0.1667,0,398.9769,1.8796,0.1667,0,404.195,1.9458,0.1667,0,413.0082,2.037,0.1667,0,404.1131,1.9451,0.167,0,408.4836,1.9294,0.0011,2e-04,415.5692,2.0136,0.0601,0.002,407.947,1.9271,0.0421,2e-04,0.7149,3e-04,0.6369,0.0028,0.6923,3e-04,0.8312,0.0078,0.4394,0.0344,0.948,0.0014,0.0077,0.0024,0.0128,0.0102,4.2886,0.062,2.561,0.0839,3.8338,0.0594,8.8132,0.3731,7.0856,0.318,-0.0819,0.0139,-0.5367,0.0165,16.5923,0.3343
7,0.3,200,400,0,351.5658,1.5971,NA,NA,389.5338,1.5729,0.1429,0,387.0994,1.5737,0.1429,0,392.4833,1.6281,0.1429,0,403.8295,1.7964,0.1429,0,392.3678,1.6286,0.1424,0,393.3318,1.613,0.0262,5e-04,404.484,1.7874,0.0898,0.0015,393.1487,1.6108,0.0484,5e-04,0.6486,5e-04,0.5717,0.0021,0.6372,5e-04,0.8536,0.007,0.7691,0.0042,0.9211,0.0026,0.2229,0.0051,0.0128,0.0102,0.8485,0.0587,0.6545,0.0232,0.7808,0.0597,11.3463,0.4776,11.1522,0.471,-0.1154,0.0188,-0.1831,0.0146,17.3846,0.5181
7,0.85,200,400,0,429.9906,2.5523,NA,NA,483.2019,2.5024,0.1429,0,479.8847,2.4682,0.1429,0,484.8464,2.545,0.1429,0,493.7054,2.6179,0.1429,0,484.7334,2.5443,0.1424,0,490.0391,2.5242,2e-04,1e-04,496.603,2.5971,0.0464,0.0017,489.409,2.5248,0.0359,1e-04,0.7375,3e-04,0.6517,0.0031,0.7163,3e-04,0.8536,0.007,0.0588,0.0165,0.955,0.0013,0.0032,0.002,0.0128,0.0102,5.1927,0.0684,2.8976,0.1042,4.6756,0.0645,8.859,0.3571,6.5639,0.292,-0.113,0.0118,-0.6301,0.0144,16.7183,0.3114
8,0.3,200,400,0,412.9093,1.9315,NA,NA,453.0488,1.8995,0.125,0,450.4791,1.8931,0.125,0,456.0424,1.9545,0.125,0,467.8483,2.1031,0.125,0,455.9509,1.9537,0.125,0,457.0741,1.9364,0.012,5e-04,468.5056,2.0909,0.0751,0.0014,456.9356,1.9346,0.0371,5e-04,0.6726,6e-04,0.5789,0.0024,0.6592,6e-04,0.8711,0.0062,0.8895,0.0029,0.9318,0.0021,0.1326,0.0065,0.0128,0.0102,1.0317,0.0664,0.6573,0.0322,0.9848,0.067,11.8059,0.4748,11.4315,0.4705,-0.0915,0.0187,-0.1385,0.0154,18.0265,0.5141
8,0.85,200,400,0,510.0898,3.2315,NA,NA,566.5211,3.1819,0.125,0,563.2762,3.1372,0.125,0,568.0291,3.2221,0.125,0,576.8873,3.2823,0.125,0,567.9507,3.2204,0.125,0,573.8531,3.2032,1e-04,1e-04,579.9014,3.2639,0.0365,0.0015,573.2235,3.2023,0.0313,1e-04,0.7536,4e-04,0.665,0.0034,0.7343,4e-04,0.8711,0.0062,0.0147,0.0084,0.9455,0.0083,0.0021,0.0017,0.0128,0.0102,5.8239,0.077,3.0141,0.1214,5.2728,0.0749,8.8582,0.3418,6.0484,0.2645,-0.0784,0.0137,-0.6295,0.0079,16.6253,0.2874
10,0.3,200,400,0,542.4464,2.6991,NA,NA,586.5261,2.6563,0.1,0,583.742,2.6341,0.1,0,589.3933,2.7149,0.1,0,601.6395,2.8245,0.1,0,589.3199,2.7126,0.1,0,590.9708,2.6842,0.0028,5e-04,602.4937,2.8094,0.0553,0.0012,590.7577,2.6828,0.027,5e-04,0.7082,0.001,0.5921,0.0029,0.694,0.001,0.8941,0.0051,0.6753,0.0317,0.9455,0.0015,0.0489,0.0068,0.0128,0.0102,1.5775,0.093,0.8542,0.0505,1.4378,0.0924,12.2462,0.4522,11.5229,0.4427,-0.0734,0.0169,-0.2131,0.0179,18.7517,0.494
10,0.85,200,400,0,676.9374,4.776,NA,NA,738.6158,4.7302,0.1,0,735.6308,4.6732,0.1,0,739.6856,4.7688,0.1,0,748.3174,4.8093,0.1,0,739.6203,4.7666,0.1,0,746.5073,4.745,0,0,751.6821,4.7943,0.024,0.0012,745.8534,4.744,0.025,0,0.7784,6e-04,0.6886,0.0039,0.7619,6e-04,0.8941,0.0051,0.0098,0.0069,0.9035,0.0169,0.0011,0.0011,0.0128,0.0102,6.8217,0.0969,3.3648,0.1451,6.2331,0.0928,8.6318,0.3086,5.1748,0.2238,-0.0653,0.0139,-0.6539,0.0074,16.0513,0.2423
