"T_rounds","tau_k","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
1,0.1,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,63.5755,0.4245,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,63.5755,0.4245,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.5261,0.0078,0.1778,0.0028,0.5261,0.0078,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,4.8672,0.2406,4.8672,0.2406,-0.0875,0.0231,-0.0875,0.0231,8.9141,0.2455
1,0.3,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,63.4384,0.4269,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,63.4384,0.4269,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.5123,0.0078,0.1778,0.0028,0.5123,0.0078,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,4.73,0.2425,4.73,0.2425,-0.0875,0.0231,-0.0875,0.0231,8.777,0.2467
1,1,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.4467,0.0086,0.1778,0.0028,0.4467,0.0086,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,3.9138,0.2443,3.9138,0.2443,-0.0875,0.0231,-0.0875,0.0231,7.9608,0.2474
1,3,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,60.8995,0.4002,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,60.8995,0.4002,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.334,0.0088,0.1778,0.0028,0.334,0.0088,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,2.1911,0.2321,2.1911,0.2321,-0.0875,0.0231,-0.0875,0.0231,6.2381,0.238
1,10,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,59.1835,0.3136,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,59.1835,0.3136,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.2196,0.0047,0.1778,0.0028,0.2196,0.0047,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,0.4752,0.1469,0.4752,0.1469,-0.0875,0.0231,-0.0875,0.0231,4.5221,0.1787
2,0.1,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.7028,0.6438,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.7021,0.6434,0.4868,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.7109,0.0076,0.2051,0.0041,0.7168,0.0074,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,-7e-04,0.0051,-0.0138,0.0172,7.7082,0.3363,7.6955,0.3336,-0.1943,0.037,-0.2201,0.034,11.0351,0.3166
2,0.3,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.4834,0.656,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.4871,0.656,0.4865,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5045,2e-04,0.4912,3e-04,0.6975,0.0088,0.2051,0.0041,0.7052,0.0086,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0037,0.0043,-0.0138,0.0172,7.4888,0.3485,7.4804,0.3465,-0.1943,0.037,-0.2201,0.034,10.8201,0.3294
2,1,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,112.0379,0.6554,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,112.0443,0.656,0.4867,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.6034,0.012,0.2051,0.0041,0.616,0.0119,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0064,0.0078,-0.0138,0.0172,6.0433,0.3519,6.0376,0.3508,-0.1943,0.037,-0.2201,0.034,9.3773,0.3332
2,3,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,109.2721,0.6186,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,109.2527,0.619,0.487,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5043,2e-04,0.4912,3e-04,0.423,0.0126,0.2051,0.0041,0.434,0.013,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,-0.0194,0.0154,-0.0138,0.0172,3.2775,0.3298,3.2461,0.3286,-0.1943,0.037,-0.2201,0.034,6.5857,0.3195
2,10,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,106.6611,0.4971,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,106.6537,0.4967,0.4849,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.505,2e-04,0.4912,3e-04,0.2664,0.0062,0.2051,0.0041,0.2531,0.0071,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,-0.0074,0.0234,-0.0138,0.0172,0.6665,0.1978,0.647,0.1962,-0.1943,0.037,-0.2201,0.034,3.9867,0.2258
