"T_rounds","b","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
1,0.1,200,41.0096,0.1675,NA,NA,45.8534,0.1762,1,0,45.4788,0.185,1,0,46.2454,0.1814,1,0,48.6193,0.2493,1,0,46.1788,0.1803,1,0,46.2454,0.1814,1,0,48.6193,0.2493,1,0,46.1788,0.1803,1,0,0.5,0,0.5,0,0.5,0,0.801,0.0088,0.3774,0.0031,0.801,0.0088,0.3296,0.0025,0.0128,0.0102,0,0,0,0,0,0,2.3739,0.1203,2.3739,0.1203,-0.0666,0.007,-0.0666,0.007,3.1406,0.1211
1,0.3,200,41.0096,0.1675,NA,NA,53.0642,0.2065,1,0,51.0988,0.239,1,0,53.4658,0.2129,1,0,56.8852,0.3522,1,0,53.385,0.2122,1,0,53.4658,0.2129,1,0,56.8852,0.3522,1,0,53.385,0.2122,1,0,0.495,0,0.495,0,0.495,0,0.5462,0.0101,0.2279,0.003,0.5462,0.0101,0.2199,0.0021,0.0128,0.0102,0,0,0,0,0,0,3.4194,0.2014,3.4194,0.2014,-0.0808,0.0169,-0.0808,0.0169,5.7864,0.201
1,0.5,200,41.0096,0.1675,NA,NA,58.2498,0.2413,1,0,54.6614,0.2907,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,58.7084,0.2495,1,0,62.6222,0.4253,1,0,58.6209,0.2495,1,0,0.5,0,0.5,0,0.5,0,0.4467,0.0086,0.1778,0.0028,0.4467,0.0086,0.1928,0.0019,0.0128,0.0102,0,0,0,0,0,0,3.9138,0.2443,3.9138,0.2443,-0.0875,0.0231,-0.0875,0.0231,7.9608,0.2474
1,1,200,41.0096,0.1675,NA,NA,66.6784,0.3208,1,0,59.8806,0.3905,1,0,67.0299,0.3344,1,0,71.4019,0.5592,1,0,66.8832,0.334,1,0,67.0299,0.3344,1,0,71.4019,0.5592,1,0,66.8832,0.334,1,0,0.5,0,0.5,0,0.5,0,0.3623,0.0071,0.131,0.0029,0.3623,0.0071,0.1758,0.0018,0.0128,0.0102,0,0,0,0,0,0,4.3721,0.3049,4.3721,0.3049,-0.1467,0.0359,-0.1467,0.0359,11.5214,0.3264
2,0.1,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,92.3261,0.4167,0.5,0,88.9228,0.355,0.4975,0,89.0066,0.3559,0.4635,0.001,92.3212,0.4163,0.487,7e-04,88.9146,0.3547,0.485,0.0012,0.5121,3e-04,0.504,3e-04,0.5025,4e-04,0.8951,0.005,0.5175,0.0036,0.9,0.0046,0.4324,0.0028,0.0128,0.0102,-0.0038,0.006,-0.005,0.0024,-0.0081,0.0043,3.3157,0.1434,3.3145,0.1435,-0.0877,0.0075,-0.092,0.0075,4.0459,0.145
2,0.3,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,103.4386,0.5558,0.5,0,98.1275,0.3841,0.5025,0,98.2659,0.3831,0.478,8e-04,103.585,0.5575,0.4843,6e-04,98.2481,0.3832,0.5062,0.0011,0.5023,3e-04,0.5002,2e-04,0.4954,4e-04,0.7347,0.0104,0.2945,0.0042,0.7424,0.0103,0.2573,0.0032,0.0128,0.0102,0.1172,0.012,0.1464,0.0062,0.1206,0.0109,5.2899,0.2829,5.3191,0.2847,-0.0213,0.0232,-0.0178,0.0214,7.197,0.2759
2,0.5,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,112.0379,0.6554,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,112.0443,0.656,0.4867,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.6034,0.012,0.2051,0.0041,0.616,0.0119,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0064,0.0078,-0.0138,0.0172,6.0433,0.3519,6.0376,0.3508,-0.1943,0.037,-0.2201,0.034,9.3773,0.3332
2,1,200,83.1424,0.3399,NA,NA,119.0596,0.4832,0.5,0,113.871,0.6156,0.5,0,120.271,0.5212,0.5,0,126.9276,0.8222,0.5,0,119.8882,0.5201,0.4975,0,120.3192,0.5205,0.4893,6e-04,126.9223,0.8223,0.4905,5e-04,119.836,0.5094,0.5279,0.0011,0.5036,2e-04,0.5032,2e-04,0.4882,4e-04,0.43,0.0118,0.1296,0.0036,0.4413,0.0121,0.1671,0.0029,0.0128,0.0102,0.0481,0.0318,-0.0053,0.0117,-0.0523,0.0397,6.6566,0.4279,6.6031,0.4323,-0.3828,0.06,-0.4832,0.0647,13.0512,0.4029
3,0.1,200,126.3916,0.5178,NA,NA,131.9147,0.5222,0.3333,0,131.8306,0.5264,0.3333,0,132.6014,0.5359,0.3333,0,136.4009,0.5856,0.3333,0,132.5205,0.5344,0.3288,0,132.6018,0.5352,0.2684,0.0013,136.4017,0.5855,0.3224,8e-04,132.5744,0.5336,0.2889,0.0014,0.5252,6e-04,0.5,4e-04,0.5205,6e-04,0.9246,0.0035,0.644,0.0042,0.9282,0.0031,0.5072,0.0031,0.0128,0.0102,4e-04,0.0081,8e-04,0.0021,0.0539,0.0076,3.7995,0.1506,3.7998,0.1501,-0.0809,0.0071,-0.0274,0.0085,4.5711,0.1565
3,0.3,200,126.3916,0.5178,NA,NA,141.8611,0.5389,0.3333,0,141.1072,0.5624,0.3333,0,142.9628,0.5682,0.3333,0,149.7422,0.746,0.3333,0,142.9226,0.5683,0.3356,0,142.971,0.5682,0.2952,0.0011,149.8128,0.7474,0.3138,8e-04,142.8934,0.566,0.2876,0.0017,0.5138,4e-04,0.5068,4e-04,0.5182,7e-04,0.8263,0.0076,0.448,0.0038,0.8421,0.0067,0.4346,0.0025,0.0128,0.0102,0.0082,0.0172,0.0706,0.01,-0.0292,0.0197,6.7794,0.3355,6.8418,0.3365,-0.0402,0.0241,-0.0776,0.025,8.7057,0.3426
3,0.5,200,126.3916,0.5178,NA,NA,150.5951,0.5629,0.3333,0,148.9652,0.6151,0.3333,0,151.6142,0.6058,0.3333,0,159.8102,0.8761,0.3333,0,151.5644,0.6084,0.3356,0,151.8204,0.6075,0.2952,0.0012,160.0517,0.8774,0.3144,7e-04,151.4868,0.6038,0.2587,0.0022,0.5184,5e-04,0.5097,3e-04,0.5279,8e-04,0.7473,0.0095,0.4225,0.0034,0.7666,0.0086,0.4426,0.0019,0.0128,0.0102,0.2061,0.0228,0.2415,0.0104,-0.0777,0.0355,8.196,0.4439,8.2313,0.443,-0.0498,0.0358,-0.3336,0.0419,11.0865,0.4427
3,1,200,126.3916,0.5178,NA,NA,168.5023,0.6401,0.3333,0,164.456,0.7752,0.3333,0,168.365,0.7215,0.3333,0,178.1183,1.1137,0.3333,0,168.235,0.7209,0.3356,0,168.4942,0.7193,0.2786,0.0015,178.5064,1.1202,0.3158,7e-04,168.1911,0.6994,0.1978,0.0022,0.5248,6e-04,0.5088,3e-04,0.55,8e-04,0.635,0.0098,0.4488,0.0035,0.6575,0.0094,0.4357,0.0021,0.0128,0.0102,0.1292,0.0657,0.3881,0.021,-0.0439,0.0897,9.7533,0.5783,10.0122,0.5852,-0.13,0.0678,-0.3031,0.0854,14.0504,0.5642
4,0.1,200,170.7492,0.7015,NA,NA,176.4781,0.7047,0.25,0,176.3912,0.7082,0.25,0,177.105,0.7205,0.25,0,181.1139,0.7586,0.25,0,177.0758,0.72,0.2519,0,177.2803,0.7205,0.1603,0.0017,181.3904,0.7608,0.2387,7e-04,177.2451,0.72,0.1847,0.0017,0.551,9e-04,0.5023,5e-04,0.5441,9e-04,0.9386,0.0026,0.7705,0.0039,0.9408,0.0024,0.5391,0.003,0.0128,0.0102,0.1754,0.0156,0.2764,0.0059,0.1693,0.0146,4.009,0.1487,4.11,0.1531,-0.0291,0.0117,-0.0352,0.0087,4.9992,0.1605
4,0.3,200,170.7492,0.7015,NA,NA,187.0806,0.7173,0.25,0,186.4248,0.7368,0.25,0,188.5249,0.7585,0.25,0,196.5225,0.9258,0.25,0,188.2956,0.7531,0.2443,0,188.4837,0.7514,0.1707,0.0015,196.5208,0.9255,0.2309,7e-04,188.2669,0.7508,0.1631,0.0017,0.5517,8e-04,0.515,5e-04,0.5485,9e-04,0.8695,0.0057,0.6749,0.0039,0.8833,0.0048,0.4904,0.0025,0.0128,0.0102,-0.0413,0.0291,-0.0018,0.0091,-0.0287,0.0319,7.9976,0.3596,8.0371,0.3603,-0.2293,0.0261,-0.2167,0.028,10.096,0.3792
4,0.5,200,170.7492,0.7015,NA,NA,196.6958,0.7365,0.25,0,195.2496,0.7821,0.25,0,197.9952,0.8019,0.25,0,208.037,1.0717,0.25,0,197.7057,0.7986,0.2443,0,197.8068,0.7988,0.1607,0.0016,208.0492,1.0721,0.2328,8e-04,197.5415,0.7916,0.1314,0.0016,0.5551,8e-04,0.5128,5e-04,0.5617,8e-04,0.8162,0.0072,0.687,0.0038,0.8357,0.0062,0.4383,0.0042,0.0128,0.0102,-0.1885,0.0491,0.0122,0.0139,-0.1642,0.052,10.0418,0.4884,10.2425,0.4974,-0.2895,0.0412,-0.2653,0.0461,12.7996,0.5141
4,1,200,170.7492,0.7015,NA,NA,217.314,0.8032,0.25,0,213.7581,0.9302,0.25,0,216.5654,0.9402,0.25,0,229.6441,1.3695,0.25,0,216.1838,0.9321,0.2443,0,215.8592,0.9263,0.1239,0.0017,229.5842,1.369,0.2309,8e-04,215.8906,0.9065,0.0901,0.0012,0.5738,9e-04,0.5129,5e-04,0.5803,6e-04,0.7342,0.0078,0.7572,0.0036,0.7628,0.0066,0.2623,0.0079,0.0128,0.0102,-0.7062,0.1048,-0.0598,0.028,-0.2932,0.1402,13.0787,0.6698,13.7251,0.6916,-0.3816,0.0905,0.0315,0.0997,15.8262,0.6951
5,0.1,200,216.2057,0.8913,NA,NA,222.1202,0.8935,0.2,0,222.0238,0.8958,0.2,0,222.7688,0.9118,0.2,0,226.9151,0.9409,0.2,0,222.7358,0.911,0.2,0,223.0382,0.9107,0.0969,0.002,227.3052,0.9436,0.1891,8e-04,223.0075,0.9107,0.1268,0.002,0.5769,0.0012,0.5047,6e-04,0.5634,0.0012,0.9461,0.0022,0.8569,0.0031,0.9484,0.0019,0.5234,0.0044,0.0128,0.0102,0.2694,0.0161,0.3901,0.0079,0.2717,0.0152,4.1463,0.147,4.267,0.1522,-0.033,0.0087,-0.0307,0.0067,5.2814,0.1631
5,0.3,200,216.2057,0.8913,NA,NA,233.2513,0.9029,0.2,0,232.6372,0.9168,0.2,0,234.92,0.9464,0.2,0,243.7511,1.1066,0.2,0,234.8683,0.9448,0.2,0,234.8709,0.9488,0.0956,0.0016,243.7382,1.1059,0.1818,8e-04,234.7944,0.9466,0.1034,0.0015,0.5851,0.001,0.5186,6e-04,0.5813,0.001,0.8926,0.0047,0.8214,0.0034,0.9061,0.0037,0.4462,0.0057,0.0128,0.0102,-0.0491,0.0438,-0.0129,0.0103,-0.0739,0.0421,8.8311,0.3717,8.8673,0.3696,-0.0517,0.0269,-0.0764,0.0233,11.101,0.4052
5,0.5,200,216.2057,0.8913,NA,NA,243.5534,0.9181,0.2,0,242.187,0.9514,0.2,0,244.9244,0.9998,0.2,0,256.56,1.2634,0.2,0,244.9023,0.9962,0.2,0,244.8165,0.9956,0.0834,0.0016,256.6111,1.2626,0.1836,8e-04,244.8063,0.9904,0.0855,0.0013,0.5917,0.001,0.5154,6e-04,0.5888,9e-04,0.8551,0.0057,0.8403,0.0031,0.8714,0.0047,0.359,0.0081,0.0128,0.0102,-0.1079,0.0732,0.0511,0.0163,-0.096,0.0748,11.6355,0.5195,11.7945,0.5196,-0.0222,0.0471,-0.0103,0.0396,14.4241,0.5688
5,1,200,216.2057,0.8913,NA,NA,266.3095,0.9744,0.2,0,262.9224,1.0804,0.2,0,265.2556,1.1547,0.2,0,280.9127,1.6084,0.2,0,265.4597,1.1559,0.2,0,264.3695,1.1477,0.0524,0.0014,280.8867,1.6059,0.183,7e-04,264.7023,1.1211,0.0643,0.001,0.6155,0.001,0.5153,6e-04,0.6064,8e-04,0.7931,0.0064,0.8946,0.0052,0.8167,0.0053,0.1877,0.0094,0.0128,0.0102,-0.8861,0.1686,-0.026,0.0342,-0.7574,0.1925,15.6571,0.7107,16.5172,0.7247,0.2041,0.1064,0.3328,0.1701,17.9643,0.8189
