"T_rounds","tau_k","n_trials","epsilon_mean","epsilon_se","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
2,0.3,200,1e-04,0,82.0204,0.3349,NA,NA,102.994,0.3962,0.5,0,100.8943,0.461,0.5,0,104.0939,0.4204,0.5,0,111.5489,0.6575,0.5,0,103.9096,0.4191,0.4975,0,104.1039,0.4207,0.4929,5e-04,111.5499,0.6577,0.5006,2e-04,103.8881,0.4164,0.5262,9e-04,0.5024,2e-04,0.4998,1e-04,0.4888,3e-04,0.6975,0.0088,0.21,0.004,0.6972,0.0088,0.1965,0.003,0.0128,0.0102,0.0099,0.0152,0.001,0.001,-0.0216,0.0188,7.455,0.3491,7.446,0.3472,-0.1843,0.0386,-0.2158,0.0362,10.6556,0.3311
2,1,200,1e-04,0,82.0204,0.3349,NA,NA,102.994,0.3962,0.5,0,100.8943,0.461,0.5,0,104.0939,0.4204,0.5,0,110.1262,0.657,0.5,0,103.9096,0.4191,0.4975,0,104.1039,0.4207,0.4929,5e-04,110.1286,0.6573,0.5008,2e-04,103.8881,0.4164,0.5262,9e-04,0.5024,2e-04,0.4997,1e-04,0.4888,3e-04,0.6034,0.012,0.21,0.004,0.606,0.012,0.1965,0.003,0.0128,0.0102,0.0099,0.0152,0.0025,0.0028,-0.0216,0.0188,6.0323,0.3529,6.0248,0.3513,-0.1843,0.0386,-0.2158,0.0362,9.2343,0.3354
2,3,200,1e-04,0,82.0204,0.3349,NA,NA,102.994,0.3962,0.5,0,100.8943,0.461,0.5,0,104.0939,0.4204,0.5,0,107.3732,0.6191,0.5,0,103.9096,0.4191,0.4975,0,104.1039,0.4207,0.4929,5e-04,107.3574,0.6193,0.4992,4e-04,103.8881,0.4164,0.5262,9e-04,0.5024,2e-04,0.5003,1e-04,0.4888,3e-04,0.423,0.0126,0.21,0.004,0.4288,0.0128,0.1965,0.003,0.0128,0.0102,0.0099,0.0152,-0.0159,0.0116,-0.0216,0.0188,3.2793,0.3291,3.2535,0.3288,-0.1843,0.0386,-0.2158,0.0362,6.4631,0.3205
3,0.3,200,1e-04,0,123.0323,0.5024,NA,NA,145.6822,0.5552,0.3333,0,144.284,0.6094,0.3333,0,146.7091,0.5991,0.3333,0,156.8568,0.8527,0.3333,0,146.6911,0.6009,0.3356,0,146.8854,0.5987,0.3094,9e-04,157.081,0.8552,0.338,3e-04,146.5751,0.6,0.2794,0.0021,0.5106,4e-04,0.4981,1e-04,0.5182,8e-04,0.7965,0.0061,0.3966,0.0031,0.7908,0.0062,0.4322,0.0023,0.0128,0.0102,0.1763,0.0198,0.2242,0.0053,-0.116,0.0319,10.1477,0.4135,10.1955,0.4164,-0.018,0.0346,-0.3103,0.0378,12.7969,0.4155
3,1,200,1e-04,0,123.0323,0.5024,NA,NA,145.6822,0.5552,0.3333,0,144.284,0.6094,0.3333,0,146.7091,0.5991,0.3333,0,154.9324,0.8786,0.3333,0,146.6911,0.6009,0.3356,0,146.8854,0.5987,0.3094,9e-04,155.1528,0.8801,0.3374,4e-04,146.5751,0.6,0.2794,0.0021,0.5106,4e-04,0.4981,1e-04,0.5182,8e-04,0.7473,0.0095,0.3966,0.0031,0.7465,0.0094,0.4322,0.0023,0.0128,0.0102,0.1763,0.0198,0.2205,0.0079,-0.116,0.0319,8.2233,0.4484,8.2674,0.45,-0.018,0.0346,-0.3103,0.0378,10.8688,0.4493
3,3,200,1e-04,0,123.0323,0.5024,NA,NA,145.6822,0.5552,0.3333,0,144.284,0.6094,0.3333,0,146.7091,0.5991,0.3333,0,151.1097,0.8493,0.3333,0,146.6911,0.6009,0.3356,0,146.8854,0.5987,0.3094,9e-04,151.3204,0.8562,0.3248,7e-04,146.5751,0.6,0.2794,0.0021,0.5106,4e-04,0.5036,3e-04,0.5182,8e-04,0.5924,0.0119,0.3966,0.0031,0.6196,0.0119,0.4322,0.0023,0.0128,0.0102,0.1763,0.0198,0.2107,0.024,-0.116,0.0319,4.4006,0.4291,4.435,0.438,-0.018,0.0346,-0.3103,0.0378,7.0364,0.4471
4,0.3,200,1e-04,0,164.0453,0.6698,NA,NA,187.65,0.7171,0.25,0,186.5393,0.7663,0.25,0,189.0895,0.7827,0.25,0,201.3306,1.0284,0.25,0,188.7893,0.7814,0.2443,0,188.8747,0.7782,0.189,0.0015,201.3322,1.0282,0.2506,2e-04,188.5698,0.7746,0.1556,0.0017,0.536,7e-04,0.4995,1e-04,0.5448,8e-04,0.8373,0.0049,0.632,0.0037,0.8361,0.005,0.4797,0.0027,0.0128,0.0102,-0.2148,0.0498,0.0016,0.0033,-0.2195,0.0496,12.2411,0.4405,12.4575,0.4451,-0.3003,0.0385,-0.3049,0.0429,14.7929,0.4676
4,1,200,1e-04,0,164.0453,0.6698,NA,NA,187.65,0.7171,0.25,0,186.5393,0.7663,0.25,0,189.0895,0.7827,0.25,0,199.0946,1.0742,0.25,0,188.7893,0.7814,0.2443,0,188.8747,0.7782,0.189,0.0015,199.1024,1.0734,0.2522,5e-04,188.5698,0.7746,0.1556,0.0017,0.536,7e-04,0.4985,2e-04,0.5448,8e-04,0.8162,0.0072,0.632,0.0037,0.8202,0.0069,0.4797,0.0027,0.0128,0.0102,-0.2148,0.0498,0.0078,0.0094,-0.2195,0.0496,10.005,0.4993,10.2277,0.504,-0.3003,0.0385,-0.3049,0.0429,12.5631,0.5259
4,3,200,1e-04,0,164.0453,0.6698,NA,NA,187.65,0.7171,0.25,0,186.5393,0.7663,0.25,0,189.0895,0.7827,0.25,0,194.5917,1.0653,0.25,0,188.7893,0.7814,0.2443,0,188.8747,0.7782,0.189,0.0015,194.5532,1.0659,0.2388,0.001,188.5698,0.7746,0.1556,0.0017,0.536,7e-04,0.5073,5e-04,0.5448,8e-04,0.7007,0.0097,0.632,0.0037,0.7452,0.0091,0.4797,0.0027,0.0128,0.0102,-0.2148,0.0498,-0.0385,0.0289,-0.2195,0.0496,5.5022,0.5062,5.6785,0.515,-0.3003,0.0385,-0.3049,0.0429,8.0139,0.5447
5,0.3,200,1e-04,0,205.0595,0.8373,NA,NA,229.2815,0.8808,0.2,0,228.3862,0.9194,0.2,0,231.0246,0.9644,0.2,0,244.7994,1.1996,0.2,0,231.009,0.9642,0.2,0,230.8002,0.968,0.1105,0.0016,244.7842,1.199,0.2016,3e-04,230.7472,0.9634,0.1042,0.0015,0.5653,9e-04,0.4984,2e-04,0.5674,9e-04,0.8634,0.0039,0.7875,0.0034,0.8621,0.0039,0.4464,0.0058,0.0128,0.0102,-0.2244,0.0643,-0.0152,0.0066,-0.2618,0.0719,13.7748,0.4516,13.984,0.4534,-0.0156,0.044,-0.053,0.0436,16.398,0.5132
