"b","tau_k","k_shape","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.1,0.3,1.5,200,89.6948,0.4351,NA,NA,95.7554,0.4466,0.5,0,95.8678,0.4549,0.5,0,96.5528,0.4604,0.5,0,102.2982,0.5025,0.5,0,96.463,0.4608,0.4975,0,96.5477,0.4607,0.4674,9e-04,102.2809,0.5022,0.4935,5e-04,96.462,0.461,0.492,0.0012,0.5108,3e-04,0.5014,2e-04,0.5002,4e-04,0.9297,0.0023,0.6177,0.0061,0.9303,0.0023,0.5124,0.0045,0.0128,0.0102,-0.0051,0.0075,-0.0173,0.0031,-0.001,0.0072,5.7454,0.1462,5.7332,0.1452,-0.0897,0.0114,-0.0856,0.01,6.4131,0.1512
0.1,0.3,2,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,92.7746,0.4026,0.5,0,88.9228,0.355,0.4975,0,89.0066,0.3559,0.4635,0.001,92.7696,0.4021,0.4884,6e-04,88.9146,0.3547,0.485,0.0012,0.5121,3e-04,0.5036,2e-04,0.5025,4e-04,0.9051,0.0029,0.5175,0.0036,0.9069,0.0029,0.4324,0.0028,0.0128,0.0102,-0.0038,0.006,-0.005,0.0023,-0.0081,0.0043,3.7641,0.1227,3.763,0.1223,-0.0877,0.0075,-0.092,0.0075,4.4943,0.1248
0.1,0.3,3,200,76.2904,0.2468,NA,NA,80.764,0.2458,0.5,0,80.427,0.2499,0.5,0,81.238,0.2523,0.5,0,82.8597,0.2804,0.5,0,81.1672,0.2519,0.4975,0,81.231,0.2523,0.4623,9e-04,82.8607,0.2803,0.4778,8e-04,81.1695,0.252,0.478,0.0011,0.5125,3e-04,0.5072,3e-04,0.5048,4e-04,0.8312,0.0055,0.4635,0.0029,0.8397,0.0051,0.375,0.0026,0.0128,0.0102,-0.0069,0.0039,0.001,0.0018,0.0023,0.0025,1.6217,0.0704,1.6296,0.0705,-0.0708,0.0043,-0.0615,0.0045,2.4336,0.0717
0.1,1,1.5,200,89.6948,0.4351,NA,NA,95.7554,0.4466,0.5,0,95.8678,0.4549,0.5,0,96.5528,0.4604,0.5,0,102.1679,0.5111,0.5,0,96.463,0.4608,0.4975,0,96.5477,0.4607,0.4674,9e-04,102.1504,0.5105,0.4931,5e-04,96.462,0.461,0.492,0.0012,0.5108,3e-04,0.5015,3e-04,0.5002,4e-04,0.9336,0.0023,0.6177,0.0061,0.9344,0.0023,0.5124,0.0045,0.0128,0.0102,-0.0051,0.0075,-0.0176,0.0033,-0.001,0.0072,5.6152,0.1578,5.6027,0.1571,-0.0897,0.0114,-0.0856,0.01,6.2826,0.1627
0.1,1,2,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,92.3261,0.4167,0.5,0,88.9228,0.355,0.4975,0,89.0066,0.3559,0.4635,0.001,92.3212,0.4163,0.487,7e-04,88.9146,0.3547,0.485,0.0012,0.5121,3e-04,0.504,3e-04,0.5025,4e-04,0.8951,0.005,0.5175,0.0036,0.9,0.0046,0.4324,0.0028,0.0128,0.0102,-0.0038,0.006,-0.005,0.0024,-0.0081,0.0043,3.3157,0.1434,3.3145,0.1435,-0.0877,0.0075,-0.092,0.0075,4.0459,0.145
0.1,1,3,200,76.2904,0.2468,NA,NA,80.764,0.2458,0.5,0,80.427,0.2499,0.5,0,81.238,0.2523,0.5,0,82.157,0.2824,0.5,0,81.1672,0.2519,0.4975,0,81.231,0.2523,0.4623,9e-04,82.1642,0.2824,0.4707,9e-04,81.1695,0.252,0.478,0.0011,0.5125,3e-04,0.5098,3e-04,0.5048,4e-04,0.7165,0.0087,0.4635,0.0029,0.7341,0.0085,0.375,0.0026,0.0128,0.0102,-0.0069,0.0039,0.0072,0.0027,0.0023,0.0025,0.9191,0.0724,0.9331,0.073,-0.0708,0.0043,-0.0615,0.0045,1.7372,0.0748
0.1,3,1.5,200,89.6948,0.4351,NA,NA,95.7554,0.4466,0.5,0,95.8678,0.4549,0.5,0,96.5528,0.4604,0.5,0,101.1491,0.5432,0.5,0,96.463,0.4608,0.4975,0,96.5477,0.4607,0.4674,9e-04,101.1273,0.5428,0.4926,7e-04,96.462,0.461,0.492,0.0012,0.5108,3e-04,0.5014,3e-04,0.5002,4e-04,0.9162,0.0054,0.6177,0.0061,0.9214,0.0049,0.5124,0.0045,0.0128,0.0102,-0.0051,0.0075,-0.0217,0.0046,-0.001,0.0072,4.5963,0.2109,4.5797,0.21,-0.0897,0.0114,-0.0856,0.01,5.2596,0.2156
0.1,3,2,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,90.8845,0.4301,0.5,0,88.9228,0.355,0.4975,0,89.0066,0.3559,0.4635,0.001,90.8808,0.4303,0.4791,9e-04,88.9146,0.3547,0.485,0.0012,0.5121,3e-04,0.5066,4e-04,0.5025,4e-04,0.7919,0.0093,0.5175,0.0036,0.8073,0.009,0.4324,0.0028,0.0128,0.0102,-0.0038,0.006,-0.0037,0.0054,-0.0081,0.0043,1.874,0.1649,1.8742,0.1656,-0.0877,0.0075,-0.092,0.0075,2.6055,0.1685
0.1,3,3,200,76.2904,0.2468,NA,NA,80.764,0.2458,0.5,0,80.427,0.2499,0.5,0,81.238,0.2523,0.5,0,81.4157,0.2631,0.5,0,81.1672,0.2519,0.4975,0,81.231,0.2523,0.4623,9e-04,81.4162,0.263,0.4641,9e-04,81.1695,0.252,0.478,0.0011,0.5125,3e-04,0.5119,3e-04,0.5048,4e-04,0.5327,0.005,0.4635,0.0029,0.5426,0.0054,0.375,0.0026,0.0128,0.0102,-0.0069,0.0039,5e-04,0.0036,0.0023,0.0025,0.1777,0.0404,0.1851,0.0413,-0.0708,0.0043,-0.0615,0.0045,0.9891,0.0472
0.3,0.3,1.5,200,89.6948,0.4351,NA,NA,106.318,0.4805,0.5,0,106.1571,0.5237,0.5,0,107.485,0.5105,0.5,0,119.3694,0.7343,0.5,0,107.4249,0.5109,0.5025,0,107.5906,0.5089,0.4809,7e-04,119.5872,0.7374,0.4908,4e-04,107.589,0.5089,0.498,0.0013,0.5013,2e-04,0.498,1e-04,0.4982,4e-04,0.8697,0.0043,0.3636,0.0063,0.8702,0.0043,0.3428,0.0053,0.0128,0.0102,0.1056,0.0206,0.2178,0.0052,0.1641,0.0168,11.8844,0.3967,11.9965,0.4006,-0.0602,0.0303,-0.0017,0.0294,13.43,0.3967
