"b","x_seed","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.1,0.1,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,92.3261,0.4167,0.5,0,88.9385,0.3551,0.4949,0,89.0066,0.3559,0.4635,0.001,92.3212,0.4163,0.487,7e-04,88.9881,0.356,0.4713,0.0011,0.5121,3e-04,0.504,3e-04,0.5096,4e-04,0.8951,0.005,0.5175,0.0036,0.9,0.0046,0.4811,0.0032,0.0128,0.0102,-0.0038,0.006,-0.005,0.0024,0.0496,0.0048,3.3157,0.1434,3.3145,0.1435,-0.072,0.0052,-0.0185,0.0047,4.0459,0.145
0.1,0.25,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,92.3261,0.4167,0.5,0,88.9228,0.355,0.4975,0,89.0066,0.3559,0.4635,0.001,92.3212,0.4163,0.487,7e-04,88.9146,0.3547,0.485,0.0012,0.5121,3e-04,0.504,3e-04,0.5025,4e-04,0.8951,0.005,0.5175,0.0036,0.9,0.0046,0.4324,0.0028,0.0128,0.0102,-0.0038,0.006,-0.005,0.0024,-0.0081,0.0043,3.3157,0.1434,3.3145,0.1435,-0.0877,0.0075,-0.092,0.0075,4.0459,0.145
0.1,0.5,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,92.3261,0.4167,0.5,0,88.8273,0.3537,0.4949,0,89.0066,0.3559,0.4635,0.001,92.3212,0.4163,0.487,7e-04,88.8859,0.3538,0.5112,0.0011,0.5121,3e-04,0.504,3e-04,0.4962,4e-04,0.8951,0.005,0.5175,0.0036,0.9,0.0046,0.3416,0.0022,0.0128,0.0102,-0.0038,0.006,-0.005,0.0024,0.0586,0.005,3.3157,0.1434,3.3145,0.1435,-0.1832,0.0085,-0.1208,0.0086,4.0459,0.145
0.1,0.75,200,83.1424,0.3399,NA,NA,88.412,0.3459,0.5,0,88.2753,0.3528,0.5,0,89.0105,0.3561,0.5,0,92.3261,0.4167,0.5,0,88.7918,0.3531,0.4975,0,89.0066,0.3559,0.4635,0.001,92.3212,0.4163,0.487,7e-04,88.7918,0.353,0.5425,0.001,0.5121,3e-04,0.504,3e-04,0.4834,3e-04,0.8951,0.005,0.5175,0.0036,0.9,0.0046,0.238,0.0016,0.0128,0.0102,-0.0038,0.006,-0.005,0.0024,0,0.0061,3.3157,0.1434,3.3145,0.1435,-0.2186,0.011,-0.2148,0.0097,4.0459,0.145
0.3,0.1,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,103.4386,0.5558,0.5,0,98.1327,0.3843,0.5,0,98.2659,0.3831,0.478,8e-04,103.585,0.5575,0.4843,6e-04,98.2437,0.3835,0.4892,9e-04,0.5023,3e-04,0.5002,2e-04,0.4986,3e-04,0.7347,0.0104,0.2945,0.0042,0.7424,0.0103,0.27,0.0039,0.0128,0.0102,0.1172,0.012,0.1464,0.0062,0.1111,0.0115,5.2899,0.2829,5.3191,0.2847,-0.0161,0.0144,-0.0222,0.0161,7.197,0.2759
0.3,0.25,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,103.4386,0.5558,0.5,0,98.1275,0.3841,0.5025,0,98.2659,0.3831,0.478,8e-04,103.585,0.5575,0.4843,6e-04,98.2481,0.3832,0.5062,0.0011,0.5023,3e-04,0.5002,2e-04,0.4954,4e-04,0.7347,0.0104,0.2945,0.0042,0.7424,0.0103,0.2573,0.0032,0.0128,0.0102,0.1172,0.012,0.1464,0.0062,0.1206,0.0109,5.2899,0.2829,5.3191,0.2847,-0.0213,0.0232,-0.0178,0.0214,7.197,0.2759
0.3,0.5,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,103.4386,0.5558,0.5,0,98.0457,0.3836,0.5051,0,98.2659,0.3831,0.478,8e-04,103.585,0.5575,0.4843,6e-04,98.0625,0.3831,0.5141,0.0015,0.5023,3e-04,0.5002,2e-04,0.4903,5e-04,0.7347,0.0104,0.2945,0.0042,0.7424,0.0103,0.2678,0.0019,0.0128,0.0102,0.1172,0.012,0.1464,0.0062,0.0168,0.0113,5.2899,0.2829,5.3191,0.2847,-0.1031,0.024,-0.2034,0.0241,7.197,0.2759
0.3,0.75,200,83.1424,0.3399,NA,NA,97.4207,0.368,0.5,0,96.3881,0.4012,0.5,0,98.1488,0.3838,0.5,0,103.4386,0.5558,0.5,0,97.8847,0.3815,0.5025,0,98.2659,0.3831,0.478,8e-04,103.585,0.5575,0.4843,6e-04,98.017,0.3834,0.514,0.0013,0.5023,3e-04,0.5002,2e-04,0.4929,4e-04,0.7347,0.0104,0.2945,0.0042,0.7424,0.0103,0.1996,0.0011,0.0128,0.0102,0.1172,0.012,0.1464,0.0062,0.1323,0.0109,5.2899,0.2829,5.3191,0.2847,-0.2641,0.0174,-0.249,0.0209,7.197,0.2759
0.5,0.1,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,112.0379,0.6554,0.5,0,105.9616,0.4191,0.5,0,106.0066,0.4215,0.4827,7e-04,112.0443,0.656,0.4867,5e-04,105.786,0.4173,0.5032,9e-04,0.5058,2e-04,0.5044,2e-04,0.494,3e-04,0.6034,0.012,0.2051,0.0041,0.616,0.0119,0.1878,0.0037,0.0128,0.0102,0.0121,0.0206,0.0064,0.0078,-0.1756,0.014,6.0433,0.3519,6.0376,0.3508,-0.0329,0.0293,-0.2206,0.0275,9.3773,0.3332
0.5,0.25,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,112.0379,0.6554,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,112.0443,0.656,0.4867,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.6034,0.012,0.2051,0.0041,0.616,0.0119,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0064,0.0078,-0.0138,0.0172,6.0433,0.3519,6.0376,0.3508,-0.1943,0.037,-0.2201,0.034,9.3773,0.3332
