"tau_k","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.05,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.6482,0.6398,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.6559,0.6394,0.4876,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5042,2e-04,0.4912,3e-04,0.7115,0.0074,0.2051,0.0041,0.717,0.0073,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0076,0.0048,-0.0138,0.0172,7.6537,0.3354,7.6492,0.3325,-0.1943,0.037,-0.2201,0.034,10.9889,0.3156
0.1,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.7028,0.6438,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.7021,0.6434,0.4868,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.7109,0.0076,0.2051,0.0041,0.7168,0.0074,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,-7e-04,0.0051,-0.0138,0.0172,7.7082,0.3363,7.6955,0.3336,-0.1943,0.037,-0.2201,0.034,11.0351,0.3166
0.2,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.6266,0.6504,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.6338,0.6502,0.4863,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5046,2e-04,0.4912,3e-04,0.7061,0.0081,0.2051,0.0041,0.7132,0.0079,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0071,0.0051,-0.0138,0.0172,7.632,0.3412,7.6271,0.3391,-0.1943,0.037,-0.2201,0.034,10.9668,0.3217
0.3,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.4834,0.656,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.4871,0.656,0.4865,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5045,2e-04,0.4912,3e-04,0.6975,0.0088,0.2051,0.0041,0.7052,0.0086,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0037,0.0043,-0.0138,0.0172,7.4888,0.3485,7.4804,0.3465,-0.1943,0.037,-0.2201,0.034,10.8201,0.3294
0.5,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,113.0979,0.6587,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,113.0986,0.6583,0.4868,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.6742,0.0101,0.2051,0.0041,0.6814,0.0101,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,7e-04,0.0072,-0.0138,0.0172,7.1034,0.3513,7.092,0.3489,-0.1943,0.037,-0.2201,0.034,10.4316,0.3317
0.7,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,112.6639,0.6602,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,112.6734,0.6596,0.4872,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5042,2e-04,0.4912,3e-04,0.6461,0.0111,0.2051,0.0041,0.656,0.0108,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0095,0.0075,-0.0138,0.0172,6.6693,0.3537,6.6668,0.3516,-0.1943,0.037,-0.2201,0.034,10.0064,0.3338
1,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,112.0379,0.6554,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,112.0443,0.656,0.4867,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.6034,0.012,0.2051,0.0041,0.616,0.0119,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0064,0.0078,-0.0138,0.0172,6.0433,0.3519,6.0376,0.3508,-0.1943,0.037,-0.2201,0.034,9.3773,0.3332
1.5,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,111.1015,0.6488,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,111.1096,0.6496,0.487,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5043,2e-04,0.4912,3e-04,0.5422,0.0126,0.2051,0.0041,0.5566,0.0128,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,0.0082,0.0098,-0.0138,0.0172,5.1069,0.3493,5.103,0.3483,-0.1943,0.037,-0.2201,0.034,8.4427,0.3316
2,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,110.3314,0.6388,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,110.3247,0.6394,0.487,5e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5044,2e-04,0.4912,3e-04,0.4934,0.0128,0.2051,0.0041,0.5092,0.0131,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,-0.0066,0.0124,-0.0138,0.0172,4.3368,0.344,4.3181,0.3435,-0.1943,0.037,-0.2201,0.034,7.6577,0.3285
3,200,83.1424,0.3399,NA,NA,104.8801,0.3979,0.5,0,102.667,0.4629,0.5,0,105.9946,0.4206,0.5,0,109.2721,0.6186,0.5,0,105.8003,0.42,0.4975,0,106.0066,0.4215,0.4827,7e-04,109.2527,0.619,0.487,6e-04,105.7865,0.418,0.5189,0.001,0.5058,2e-04,0.5043,2e-04,0.4912,3e-04,0.423,0.0126,0.2051,0.0041,0.434,0.013,0.2018,0.003,0.0128,0.0102,0.0121,0.0206,-0.0194,0.0154,-0.0138,0.0172,3.2775,0.3298,3.2461,0.3286,-0.1943,0.037,-0.2201,0.034,6.5857,0.3195
