"k_shape","tau_k","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","b_idx_S7_mean","b_idx_S7_se","b_idx_S8_mean","b_idx_S8_se","b_idx_S9_mean","b_idx_S9_se","gini_g1_S5_mean","gini_g1_S5_se","gini_g1_S7_mean","gini_g1_S7_se","gini_g1_S8_mean","gini_g1_S8_se","gini_g1_S9_mean","gini_g1_S9_se","rho_s_mean","rho_s_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
1.3,0.3,200,93.5279,0.4929,NA,NA,121.4381,0.5965,0.5,0,121.6501,0.6968,0.5,0,123.9407,0.6616,0.5,0,145.002,1.1343,0.5,0,123.6287,0.6678,0.4975,0,123.9322,0.6627,0.4861,9e-04,145.0078,1.134,0.4928,5e-04,123.6289,0.6681,0.496,0.0017,0.5046,3e-04,0.5024,2e-04,0.4988,6e-04,0.8578,0.005,0.3131,0.0063,0.8592,0.0049,0.3374,0.0058,0.0128,0.0102,-0.0085,0.029,0.0058,0.0046,2e-04,0.0319,21.0613,0.732,21.0755,0.7358,-0.3121,0.0656,-0.3034,0.0639,23.3576,0.7199
1.3,1,200,93.5279,0.4929,NA,NA,121.4381,0.5965,0.5,0,121.6501,0.6968,0.5,0,123.9407,0.6616,0.5,0,144.2551,1.1794,0.5,0,123.6287,0.6678,0.4975,0,123.9322,0.6627,0.4861,9e-04,144.251,1.1787,0.4922,4e-04,123.6289,0.6681,0.496,0.0017,0.5046,3e-04,0.5026,1e-04,0.4988,6e-04,0.8592,0.0061,0.3131,0.0063,0.861,0.0059,0.3374,0.0058,0.0128,0.0102,-0.0085,0.029,-0.0041,0.0061,2e-04,0.0319,20.3143,0.7746,20.3187,0.7776,-0.3121,0.0656,-0.3034,0.0639,22.6008,0.7595
1.3,3,200,93.5279,0.4929,NA,NA,121.4381,0.5965,0.5,0,121.6501,0.6968,0.5,0,123.9407,0.6616,0.5,0,141.2888,1.2659,0.5,0,123.6287,0.6678,0.4975,0,123.9322,0.6627,0.4861,9e-04,141.2775,1.2663,0.492,5e-04,123.6289,0.6681,0.496,0.0017,0.5046,3e-04,0.5027,2e-04,0.4988,6e-04,0.8081,0.0116,0.3131,0.0063,0.8198,0.0108,0.3374,0.0058,0.0128,0.0102,-0.0085,0.029,-0.0113,0.0135,2e-04,0.0319,17.348,0.8753,17.3452,0.8802,-0.3121,0.0656,-0.3034,0.0639,19.6273,0.8603
1.3,10,200,93.5279,0.4929,NA,NA,121.4381,0.5965,0.5,0,121.6501,0.6968,0.5,0,123.9407,0.6616,0.5,0,134.6079,1.3251,0.5,0,123.6287,0.6678,0.4975,0,123.9322,0.6627,0.4861,9e-04,134.5811,1.3244,0.4846,8e-04,123.6289,0.6681,0.496,0.0017,0.5046,3e-04,0.5051,3e-04,0.4988,6e-04,0.6316,0.0169,0.3131,0.0063,0.652,0.017,0.3374,0.0058,0.0128,0.0102,-0.0085,0.029,-0.0268,0.0363,2e-04,0.0319,10.6672,0.964,10.6488,0.9669,-0.3121,0.0656,-0.3034,0.0639,12.9309,0.9531
1.8,0.3,200,85.367,0.3717,NA,NA,108.3854,0.4407,0.5,0,106.6379,0.5117,0.5,0,109.6882,0.4675,0.5,0,119.6781,0.7711,0.5,0,109.4623,0.4707,0.4975,0,109.6814,0.4698,0.4845,6e-04,119.6923,0.7713,0.4882,5e-04,109.4649,0.4669,0.5148,0.0011,0.5052,2e-04,0.5039,2e-04,0.4926,4e-04,0.7522,0.0077,0.2208,0.0041,0.7575,0.0075,0.2229,0.0036,0.0128,0.0102,-0.0067,0.0223,0.0142,0.0076,0.0026,0.0221,9.99,0.4397,10.0108,0.4409,-0.2259,0.0439,-0.2165,0.0378,13.0543,0.423
1.8,1,200,85.367,0.3717,NA,NA,108.3854,0.4407,0.5,0,106.6379,0.5117,0.5,0,109.6882,0.4675,0.5,0,118.2769,0.7875,0.5,0,109.4623,0.4707,0.4975,0,109.6814,0.4698,0.4845,6e-04,118.273,0.7881,0.4881,5e-04,109.4649,0.4669,0.5148,0.0011,0.5052,2e-04,0.504,2e-04,0.4926,4e-04,0.6903,0.0116,0.2208,0.0041,0.6991,0.0113,0.2229,0.0036,0.0128,0.0102,-0.0067,0.0223,-0.0039,0.0081,0.0026,0.0221,8.5887,0.4609,8.5916,0.4619,-0.2259,0.0439,-0.2165,0.0378,11.6351,0.4422
1.8,3,200,85.367,0.3717,NA,NA,108.3854,0.4407,0.5,0,106.6379,0.5117,0.5,0,109.6882,0.4675,0.5,0,114.9931,0.7689,0.5,0,109.4623,0.4707,0.4975,0,109.6814,0.4698,0.4845,6e-04,115.0077,0.7689,0.4872,5e-04,109.4649,0.4669,0.5148,0.0011,0.5052,2e-04,0.5043,2e-04,0.4926,4e-04,0.5199,0.0139,0.2208,0.0041,0.5367,0.0142,0.2229,0.0036,0.0128,0.0102,-0.0067,0.0223,0.0146,0.0155,0.0026,0.0221,5.305,0.4581,5.3263,0.4575,-0.2259,0.0439,-0.2165,0.0378,8.3698,0.442
1.8,10,200,85.367,0.3717,NA,NA,108.3854,0.4407,0.5,0,106.6379,0.5117,0.5,0,109.6882,0.4675,0.5,0,111.374,0.6474,0.5,0,109.4623,0.4707,0.4975,0,109.6814,0.4698,0.4845,6e-04,111.3279,0.6459,0.4858,7e-04,109.4649,0.4669,0.5148,0.0011,0.5052,2e-04,0.5047,2e-04,0.4926,4e-04,0.3145,0.0097,0.2208,0.0041,0.3097,0.0104,0.2229,0.0036,0.0128,0.0102,-0.0067,0.0223,-0.0461,0.0268,0.0026,0.0221,1.6858,0.3429,1.6465,0.3431,-0.2259,0.0439,-0.2165,0.0378,4.69,0.3637
2.5,0.3,200,79.0561,0.2834,NA,NA,98.519,0.3194,0.5,0,95.5957,0.3639,0.5,0,99.351,0.3356,0.5,0,103.2614,0.4575,0.5,0,99.1944,0.3348,0.4975,0,99.356,0.3348,0.4795,8e-04,103.265,0.4572,0.485,6e-04,99.2214,0.3326,0.5253,0.001,0.5068,3e-04,0.505,2e-04,0.4891,3e-04,0.556,0.0093,0.1825,0.0041,0.5679,0.0093,0.1678,0.0018,0.0128,0.0102,0.005,0.0146,0.0036,0.0052,0.0271,0.015,3.9104,0.1912,3.9091,0.1904,-0.1566,0.0253,-0.1345,0.0236,7.6694,0.187
2.5,1,200,79.0561,0.2834,NA,NA,98.519,0.3194,0.5,0,95.5957,0.3639,0.5,0,99.351,0.3356,0.5,0,102.0447,0.4432,0.5,0,99.1944,0.3348,0.4975,0,99.356,0.3348,0.4795,8e-04,102.0474,0.4431,0.4878,5e-04,99.2214,0.3326,0.5253,0.001,0.5068,3e-04,0.5041,2e-04,0.4891,3e-04,0.4235,0.0103,0.1825,0.0041,0.433,0.0105,0.1678,0.0018,0.0128,0.0102,0.005,0.0146,0.0028,0.0079,0.0271,0.015,2.6937,0.1826,2.6915,0.1816,-0.1566,0.0253,-0.1345,0.0236,6.4518,0.179
