"alpha_K","tau_k","q","auc"
1.3,0.05,0.1,0.999993491177778
2,0.05,0.1,0.9999475869
3.5,0.05,0.1,0.999533399644444
1.3,0.1,0.1,0.999972745177778
2,0.1,0.1,0.999769933355556
3.5,0.1,0.1,0.998107558111111
1.3,0.3,0.1,0.999745278822222
2,0.3,0.1,0.997932851888889
3.5,0.3,0.1,0.975856199211111
1.3,0.5,0.1,0.999274932611111
2,0.5,0.1,0.992841685333333
3.5,0.5,0.1,0.925505761611111
1.3,1,0.1,0.996690767788889
2,1,0.1,0.958038481988889
3.5,1,0.1,0.802532758522222
1.3,1.5,0.1,0.990218084211111
2,1.5,0.1,0.907472241144444
3.5,1.5,0.1,0.728517281033333
1.3,2.5,0.1,0.960610278955556
2,2.5,0.1,0.819708330666667
3.5,2.5,0.1,0.650358575722222
1.3,5,0.1,0.870546772755556
2,5,0.1,0.700087926277778
3.5,5,0.1,0.579569912711111
1.3,10,0.1,0.759638981577778
2,10,0.1,0.615591598044444
3.5,10,0.1,0.540817430722222
1.3,20,0.1,0.662515954366667
2,20,0.1,0.561903270488889
3.5,20,0.1,0.520272821511111
1.3,0.05,0.2,0.9999562354125
2,0.05,0.2,0.99974338274375
3.5,0.05,0.2,0.99846143656875
1.3,0.1,0.2,0.99981836605625
2,0.1,0.2,0.99898652286875
3.5,0.1,0.2,0.9935488114125
1.3,0.3,0.2,0.99832404713125
2,0.3,0.2,0.9895060490125
3.5,0.3,0.2,0.9318334805625
1.3,0.5,0.2,0.99508180310625
2,0.5,0.2,0.965242406625
3.5,0.5,0.2,0.8535260241875
1.3,1,0.2,0.97340446393125
2,1,0.2,0.88442410540625
3.5,1,0.2,0.7313381604
1.3,1.5,0.2,0.93880301945
2,1.5,0.2,0.81654551079375
3.5,1.5,0.2,0.66885804283125
1.3,2.5,0.2,0.8714108107875
2,2.5,0.2,0.73255130876875
3.5,2.5,0.2,0.60809448910625
1.3,5,0.2,0.76332884355
2,5,0.2,0.6376173501625
3.5,5,0.2,0.55487613475625
1.3,10,0.2,0.67244107700625
2,10,0.2,0.57716411163125
3.5,10,0.2,0.52830302259375
1.3,20,0.2,0.60258453331875
2,20,0.2,0.54046433419375
3.5,20,0.2,0.51375794403125
