"tau_k","k_shape","corr_S5","corr_S5_se","corr_S4","gap_S5","gap_S4","gap_S5_pctS1"
0.05,1.3,0.964902374500505,0.00491424687144468,0.127385922294278,1.58942015289863,22.9202989336649,1.68392081119102
0.3,1.3,0.974134745740775,0.00385853139665167,0.127385922294278,1.20030511213452,22.9202989336649,1.27319172108205
1,1.3,0.960545899501637,0.00555547138835462,0.127385922294278,1.90477981423294,22.9202989336649,2.06229038990666
3,1.3,0.844551939635117,0.0244548647473587,0.127385922294278,5.1056370550659,22.9202989336649,5.57992291136046
10,1.3,0.519544230281086,0.0471631687876208,0.127385922294278,12.4383945462274,22.9202989336649,13.5644747124964
20,1.3,0.342746771103147,0.0453003228899508,0.127385922294278,15.8604757641098,22.9202989336649,17.1969659748907
0.05,2,0.943444805523346,0.00657995729810085,0.181259309907505,1.3198593023552,9.51457234409044,1.56942935437
0.3,2,0.949693351873498,0.00488017604736252,0.181259309907505,1.32376475276441,9.51457234409044,1.58272767448787
1,2,0.835891803693759,0.0185053473216591,0.181259309907505,2.83004592850093,9.51457234409044,3.41612268288933
3,2,0.536657297908325,0.0392325898639765,0.181259309907505,5.8356708077255,9.51457234409044,7.06135356954879
10,2,0.255337463248601,0.0325358768244359,0.181259309907505,8.23529220238886,9.51457234409044,9.9154874180626
20,2,0.22045033332451,0.0299835264788401,0.181259309907505,8.6478944588995,9.51457234409044,10.4014979575368
