"r_min","tau_k","b_idx_S8","PG","signal","load"
0.001,0.3,0.516230412490171,0.047396162635175,1.88766484226318,"back"
0.003,0.3,0.516523326823783,0.0489098022916773,1.92187548588513,"back"
0.01,0.3,0.517380369282813,0.0531779114916198,2.03849875731539,"back"
0.03,0.3,0.519416115309285,0.0682899347523123,2.35523191090943,"back"
0.1,0.3,0.526760425062539,0.125536053970492,3.32855263352213,"back"
0.3,0.3,0.555051770690703,0.436173466898881,5.891026676799,"back"
1,0.3,0.602625297482755,1.19129445573493,9.6040700700629,"back"
0.001,10,0.519530908085686,0.074654204214377,0.00897902781028392,"back"
0.003,10,0.519876960199594,0.0754637149634678,0.00720738962949596,"back"
0.01,10,0.520929265827511,0.0835510952087724,0.00568339527220729,"back"
0.03,10,0.523318835533892,0.120613913818573,0.00516348662296077,"back"
0.1,10,0.531857919937572,0.237783975970321,-0.00816212204623193,"back"
0.3,10,0.569136724881134,0.654549314699108,-0.0222286049341254,"back"
1,10,0.683674802881401,2.37275037611818,0.347211876758161,"back"
