"cell","round","alpha_t"
"CORNER: no signal, poor, eps~0",1,0.165337493356674
"CORNER: no signal, poor, eps~0",2,0.166030535770134
"CORNER: no signal, poor, eps~0",3,0.16666499827782
"CORNER: no signal, poor, eps~0",4,0.16714256574264
"CORNER: no signal, poor, eps~0",5,0.166502065396054
"CORNER: no signal, poor, eps~0",6,0.168322341505195
"signal on, poor, eps~0",1,0.166828654938745
"signal on, poor, eps~0",2,0.166748021412233
"signal on, poor, eps~0",3,0.166681105488231
"signal on, poor, eps~0",4,0.166618424441012
"signal on, poor, eps~0",5,0.166568681819367
"signal on, poor, eps~0",6,0.166555111918422
"no signal, poor, eps=0.3",1,0.149809736578292
"no signal, poor, eps=0.3",2,0.156487457985711
"no signal, poor, eps=0.3",3,0.163274507778381
"no signal, poor, eps=0.3",4,0.170105425148528
"no signal, poor, eps=0.3",5,0.17688774028848
"no signal, poor, eps=0.3",6,0.183435132220795
"no signal, RICH, eps~0",1,0.138547105087175
"no signal, RICH, eps~0",2,0.17269129613453
"no signal, RICH, eps~0",3,0.16681501045153
"no signal, RICH, eps~0",4,0.172602499353146
"no signal, RICH, eps~0",5,0.176845310470072
"no signal, RICH, eps~0",6,0.172498778507549
