"r_min","epsilon","b_idx_S8","r1_share","PG","signal","load"
0.001,1e-04,0.499850967931756,0.200217176800501,0.00150774491400322,17.5160874131994,"FRONT"
0.01,1e-04,0.499808221047545,0.20027710562838,0.00101671382946478,18.0108285161811,"FRONT"
0.1,1e-04,0.498734384567138,0.201705311010327,-0.0111292694248111,22.3219334352399,"FRONT"
1,1e-04,0.498539519226448,0.202222774030448,-0.0172495075587401,35.6715416367312,"FRONT"
0.001,0.05,0.501788660996392,0.197893868803212,0.00389870642291375,17.0103459002097,"back"
0.01,0.05,0.501812239608783,0.197875226042682,0.00191095752136761,17.4674084901851,"back"
0.1,0.05,0.501324440505251,0.198594965782053,-0.00862381605951867,21.6734914021867,"back"
1,0.05,0.504654976451825,0.195055473076073,-0.00587639960884682,35.4590467688158,"back"
0.001,0.1,0.503658695757407,0.195654996437808,0.0093342939183169,16.5004485169092,"back"
0.01,0.1,0.503745781630529,0.195560819536666,0.00512430775338402,16.957936406465,"back"
0.1,0.1,0.503817497301646,0.195604289713008,-0.00183955279070365,21.108007349339,"back"
1,0.1,0.51048511395693,0.188298980319883,0.0323251473002936,35.1798728525882,"back"
0.001,0.2,0.5072008385742,0.191422234892091,0.0311192475918366,15.5765345236761,"back"
0.01,0.2,0.507406430985838,0.191189470669338,0.0296880631408598,15.9993940373573,"back"
0.1,0.2,0.508526204327205,0.189970222443472,0.0322888760641173,19.9258391746837,"back"
1,0.2,0.521324495098306,0.175945518939543,0.157269028659267,34.6654505259034,"back"
