"seed","ce_S8","ce_S5"
1,431.373540987404,427.156451076089
2,434.822452409103,431.539294692464
3,430.241945095117,426.896071437807
4,429.231966412058,426.572473602744
5,429.827987878038,425.697646742276
6,428.100464975046,425.198321142325
7,432.261371659324,429.052864642053
8,429.870105321988,426.109753090199
9,432.165189997314,428.989697144096
10,425.913372017509,423.074150971899
11,428.465417102877,425.440265828148
12,429.412387665913,426.44471181734
13,429.671699701002,425.134716350862
14,429.08506722028,426.022406083096
15,428.21700934009,424.571252598121
16,430.301063594226,427.493825966433
17,432.160010377395,428.660653306858
18,429.71672698758,426.270968749329
19,432.117942540205,429.19062568569
20,433.678927954832,430.448814617615
