"schedule","eps","out","se"
"x0.3_k2",0.3,603.10671547101,4.1447320725372
"even",0.3,602.645888278907,4.14995476517352
"x0.5_k3",0.3,602.645888278907,4.14995476517352
"x0.1_k1",0.3,599.031573459951,4.04096873948318
"x0.3_k3",0.3,581.834261819447,3.83223310253311
"x0.3_k1",0.3,580.917717330705,4.0737697405815
"x0.5_k2",0.3,574.432355543309,4.04707461853508
"x0.7_k3",0.3,562.707381662069,4.07217145524731
"x0.1_k2",0.3,554.375265584634,3.7105844058628
"x0.5_k1",0.3,507.555265977456,3.68193576252607
"x0.7_k2",0.3,494.304965076392,3.85092141450234
"x0.1_k3",0.3,480.86682503379,3.46343122822399
"x0.9_k3",0.3,454.305413543424,4.05124320572073
"x0.7_k1",0.3,396.834919361331,3.20928360275785
"x0.9_k2",0.3,354.991975001041,3.6639621206598
"x0.9_k1",0.3,237.787677820942,2.8680433762185
