"tau_k","epsilon","seed","out_S5","out_S8","alpha_S8"
0.1,0.05,1,110.313359997985,109.906249558042,0.55
0.1,0.05,2,117.738683613433,117.497229837769,0.55
0.1,0.05,3,99.6378585078295,99.2427858049804,0.55
0.1,0.05,4,127.649136894215,126.583839481324,0.6
0.1,0.05,5,111.518454338027,111.260484498307,0.55
0.1,0.05,6,129.509713018672,128.778734342827,0.6
0.1,0.05,7,127.493250964569,125.742466829088,0.7
0.1,0.05,8,109.993683012722,109.878913698551,0.55
0.1,0.05,9,119.295474912124,118.366017682922,0.6
0.1,0.05,10,96.5896286596403,96.6145620635016,0.5
0.1,0.05,11,92.7181789335926,93.0414177306326,0.5
0.1,0.05,12,104.14439746808,103.903086365753,0.55
0.1,0.05,13,107.706235915607,107.779690155323,0.5
0.1,0.05,14,113.493065956303,113.361151559043,0.55
0.1,0.05,15,120.532626002091,120.577161852162,0.55
1,0.05,1,107.970172116924,107.366144254614,0.55
1,0.05,2,115.336192315641,114.833364123566,0.55
1,0.05,3,97.3486363487533,97.4889205387368,0.5
1,0.05,4,124.947066944264,124.88864819444,0.55
1,0.05,5,109.952681216776,109.332109907155,0.55
1,0.05,6,127.520507682556,127.55762268896,0.6
1,0.05,7,127.605049996994,126.112918902329,0.65
1,0.05,8,106.958356700049,106.667845170872,0.55
1,0.05,9,116.641580486369,116.402349279419,0.55
1,0.05,10,94.9435191469257,95.1502313150462,0.5
1,0.05,11,90.6606926457972,90.5583141659933,0.5
1,0.05,12,102.000306622,101.739442217304,0.55
1,0.05,13,105.811129076802,105.092155324525,0.55
1,0.05,14,111.281573754037,111.041605284455,0.55
1,0.05,15,118.095221873458,117.904914446231,0.55
10,0.05,1,103.15242504001,102.33750775344,0.55
10,0.05,2,109.692894677817,110.390670242704,0.5
10,0.05,3,96.3087712236115,95.4889386408673,0.55
10,0.05,4,114.176583631447,113.328581016299,0.5
10,0.05,5,106.170922740538,106.525861891128,0.5
10,0.05,6,119.911383964965,120.66190428344,0.5
10,0.05,7,113.059750550019,113.25238401902,0.5
10,0.05,8,101.8884982062,101.170526368612,0.5
10,0.05,9,108.456106536819,106.85351265212,0.5
10,0.05,10,93.3063620473077,93.6420201003896,0.5
10,0.05,11,89.6045627279784,89.0523050906763,0.5
10,0.05,12,100.644232032921,99.3005436407794,0.5
10,0.05,13,103.178825453416,102.605438028753,0.55
10,0.05,14,106.167410425481,107.634151006503,0.5
10,0.05,15,112.166418478677,111.567259166271,0.5
0.1,0.3,1,114.624273675548,114.490187884842,0.5
0.1,0.3,2,122.296233438664,122.312501530919,0.5
0.1,0.3,3,104.506747333134,104.358163988773,0.5
0.1,0.3,4,132.084685457496,131.031213183959,0.55
0.1,0.3,5,116.634357519487,116.610367543789,0.5
0.1,0.3,6,134.018181072672,133.547112322312,0.55
0.1,0.3,7,131.206644062436,129.902534329305,0.65
0.1,0.3,8,114.444750802049,114.520023045409,0.5
0.1,0.3,9,123.665771335023,122.966542131618,0.55
0.1,0.3,10,100.762242720849,100.792398229051,0.45
0.1,0.3,11,96.8090244298761,97.0144635971168,0.5
0.1,0.3,12,108.597659131732,108.617692869922,0.5
0.1,0.3,13,112.410959610671,112.484617403999,0.5
0.1,0.3,14,117.586457466717,117.802822120789,0.5
0.1,0.3,15,125.889166709484,126.067008403619,0.5
1,0.3,1,112.204968057109,112.030203579749,0.5
1,0.3,2,119.837283536726,119.877664294209,0.5
1,0.3,3,102.103745264902,102.379034749483,0.5
1,0.3,4,129.364187499669,129.270911173146,0.5
1,0.3,5,115.021880856245,114.902276098941,0.5
1,0.3,6,132.044793446316,131.776223340786,0.55
1,0.3,7,131.331491529112,130.094280764209,0.6
1,0.3,8,111.368772838919,111.177976497943,0.5
1,0.3,9,120.984666110371,120.748805292191,0.5
1,0.3,10,99.0397366081168,99.1488818751244,0.45
1,0.3,11,94.6839030177633,94.9507352929205,0.45
1,0.3,12,106.407110684648,106.514397446258,0.5
1,0.3,13,110.451457754077,110.268038525761,0.5
1,0.3,14,115.364911871853,115.554369198945,0.5
1,0.3,15,123.417573072611,123.251374801777,0.5
10,0.3,1,107.421715546311,106.506006215199,0.5
10,0.3,2,114.104194778044,114.810174786508,0.5
10,0.3,3,101.017783270901,100.535494621809,0.5
10,0.3,4,118.62588577544,117.231725371968,0.45
10,0.3,5,111.121890538946,111.891926392471,0.45
10,0.3,6,124.403607851675,126.226177575339,0.45
10,0.3,7,116.887218722908,117.349579955699,0.45
10,0.3,8,106.229051567708,105.460047589233,0.5
10,0.3,9,112.812291623171,110.550215152071,0.45
10,0.3,10,97.3563044260661,97.700906989792,0.5
10,0.3,11,93.5742362311595,93.0470151128706,0.5
10,0.3,12,104.876519545754,103.625942511897,0.5
10,0.3,13,107.803644971492,107.495389350885,0.5
10,0.3,14,110.120437437639,111.926545716193,0.45
10,0.3,15,117.37576878084,116.949833055623,0.45
0.1,0.85,1,122.623963229129,122.70563349257,0.4
0.1,0.85,2,130.769390022551,131.048938843954,0.45
0.1,0.85,3,113.662685214789,113.701030425699,0.4
0.1,0.85,4,140.342187640913,140.009178490023,0.45
0.1,0.85,5,126.265445312026,126.506986632742,0.4
0.1,0.85,6,142.417724726495,142.55470916597,0.45
0.1,0.85,7,138.071309785094,137.575360433049,0.55
0.1,0.85,8,122.775868275727,122.806710490269,0.45
0.1,0.85,9,131.901904494986,131.676234208914,0.5
0.1,0.85,10,108.528127047955,108.699997412429,0.4
0.1,0.85,11,104.433286299206,105.047501083757,0.4
0.1,0.85,12,116.908210057014,117.075437847715,0.4
0.1,0.85,13,121.282754928045,121.531338272498,0.4
0.1,0.85,14,125.158148883754,125.567249514167,0.45
0.1,0.85,15,135.962520231036,136.354045537556,0.45
1,0.85,1,120.099224039867,120.059048282602,0.45
1,0.85,2,128.235768069434,128.377390021583,0.4
1,0.85,3,111.088592525558,111.486356126029,0.4
1,0.85,4,137.614233960673,137.316515684687,0.45
1,0.85,5,124.593436462282,124.463157525715,0.45
1,0.85,6,140.492917686767,140.522026302493,0.45
1,0.85,7,138.216175866267,137.215488505886,0.55
1,0.85,8,119.660069967407,119.555273826424,0.45
1,0.85,9,129.197804131259,129.226183686008,0.45
1,0.85,10,106.69314137312,106.970298252119,0.4
1,0.85,11,102.214584447034,102.769258369364,0.4
1,0.85,12,114.661806983143,114.890773108504,0.45
1,0.85,13,119.236833502609,118.999674487799,0.45
1,0.85,14,122.941860526926,123.372910105881,0.4
1,0.85,15,133.456859975581,133.522024210905,0.45
