"tau_k","epsilon","seed","out_S1","alpha_S1","out_S2","alpha_S2","out_S3","alpha_S3","out_S4","alpha_S4","out_S5","alpha_S5","out_S6","alpha_S6","out_S7","alpha_S7","out_S8","alpha_S8","out_S9","alpha_S9","gini_g1_S5","gini_g1_S8","fwd_vs_myo_P","fwd_vs_myo_PG","fwd_vs_myo_PS","signal_myo","signal_fwd","seed_myo","seed_fwd","optimal_vs_naive"
0.1,0.05,1,80.8762001017361,NA,102.944486107623,0.5,100.579795196235,0.5,103.941325383841,0.5,110.313359997985,0.5,103.284978518592,0.5,103.225887243673,0.5,110.21295223903,0.5,103.481610459421,0.5,0.375384615384615,0.389230769230769,-0.715438140167549,-0.100407758955214,0.19663194082861,6.37203461414421,6.98706499535655,-0.656346865248807,0.255723215747352,9.63315704279441
0.1,0.05,2,86.2327020234782,NA,109.102028565489,0.5,107.247752183403,0.5,109.31976904258,0.5,117.738683613433,0.5,110.111095354377,0.5,110.140117740226,0.5,117.758399954886,0.5,110.116287831793,0.5,0.396,0.42,0.82034869764594,0.0197163414529484,0.00519247741578965,8.41891457085325,7.61828221466025,0.791326311797121,-0.0238299084330293,10.5106477714834
0.1,0.05,3,77.2388420402395,NA,95.5016475073475,0.5,89.9771984803972,0.5,96.4391551197968,0.5,99.6378585078295,0.5,95.5025254078651,0.5,96.2434071613514,0.5,99.4960498748993,0.5,95.2693580577681,0.5,0.2575,0.254545454545455,-0.195747958445423,-0.141808632930179,-0.233167350097006,3.1987033880327,3.25264271354794,-0.936629711931758,-0.97404910358334,9.51885139450211
0.1,0.05,4,89.2209948742652,NA,113.563590208087,0.5,114.171837755431,0.5,112.965811823327,0.5,127.649136894215,0.5,114.125526850539,0.5,113.101644940785,0.5,126.960389432529,0.5,113.563639421063,0.5,0.427368421052632,0.396,0.135833117458759,-0.688747461686205,-0.561887429475959,14.6833250708888,13.8587444917438,1.15971502721244,0.461994480277724,12.7885516770985
0.1,0.05,5,84.402243412702,NA,104.255502580119,0.5,102.472791923406,0.5,105.854955342027,0.5,111.518454338027,0.5,106.248741700641,0.5,105.456044901274,0.5,111.518357879879,0.5,105.449180086018,0.5,0.365,0.349565217391304,-0.398910440753212,-9.64581485476401e-05,-0.799561614623286,5.66349899600021,6.06231297860488,0.393786358614506,-0.00686481525556815,9.04556595647243
0.1,0.05,6,94.2149357834896,NA,119.036991118294,0.5,119.718709017242,0.5,121.682069686479,0.5,129.509713018672,0.5,120.154449739185,0.5,120.679505182034,0.5,129.543728629345,0.5,120.432000868861,0.5,0.396190476190476,0.371428571428571,-1.00256450444471,0.0340156106732081,0.277551129676056,7.82764333219336,8.86422344731128,-1.52761994729326,-0.247504313172499,9.82501961210268
0.1,0.05,7,83.1432460778453,NA,108.912600906294,0.5,108.325509879445,0.5,111.812659555466,0.5,127.493250964569,0.5,111.024871142831,0.5,111.568853577292,0.5,127.706082288958,0.5,112.311097902655,0.5,0.446153846153846,0.466666666666667,-0.243805978173995,0.212831324389725,1.28622675982375,15.680591409103,16.1372287116667,-0.787788412634427,0.742244325363316,19.3805724095131
0.1,0.05,8,78.9870813260794,NA,101.423096593152,0.5,100.19307770761,0.5,101.645364011443,0.5,109.993683012722,0.5,100.61779180512,0.5,101.391446696382,0.5,110.123843666717,0.5,101.097177800993,0.5,0.380869565217391,0.38,-0.253917315061244,0.130160653994736,0.479385995872804,8.34831900127841,8.73239697033439,-1.02757220632375,-0.294268895389706,9.93076595910711
0.1,0.05,9,79.9172349458268,NA,104.59464932913,0.5,101.747522273535,0.5,107.690667498025,0.5,119.295474912124,0.5,105.957245168814,0.5,107.540178573499,0.5,119.133616083284,0.5,108.236145436058,0.5,0.385,0.3875,-0.150488924525717,-0.161858828840536,2.27890026724378,11.6048074140991,11.5934375097843,-1.73342232921132,0.69596686255818,17.3860938097491
0.1,0.05,10,72.2159777452903,NA,93.071901686548,0.5,90.1810915141627,0.5,93.465394927294,0.5,96.5896286596403,0.5,93.3022856531301,0.5,93.1404940038805,0.5,96.6145620635016,0.5,93.6064683267701,0.5,0.25875,0.283870967741936,-0.324900923413452,0.0249334038612687,0.304182673640028,3.12423373234631,3.47406805962103,-0.163109274163901,0.465974322889579,6.43347054933884
