"tau_k","epsilon","n_trials","out_S1_mean","out_S1_se","alpha_S1_mean","alpha_S1_se","out_S2_mean","out_S2_se","alpha_S2_mean","alpha_S2_se","out_S3_mean","out_S3_se","alpha_S3_mean","alpha_S3_se","out_S4_mean","out_S4_se","alpha_S4_mean","alpha_S4_se","out_S5_mean","out_S5_se","alpha_S5_mean","alpha_S5_se","out_S6_mean","out_S6_se","alpha_S6_mean","alpha_S6_se","out_S7_mean","out_S7_se","alpha_S7_mean","alpha_S7_se","out_S8_mean","out_S8_se","alpha_S8_mean","alpha_S8_se","out_S9_mean","out_S9_se","alpha_S9_mean","alpha_S9_se","fwd_vs_myo_P_mean","fwd_vs_myo_P_se","fwd_vs_myo_PG_mean","fwd_vs_myo_PG_se","fwd_vs_myo_PS_mean","fwd_vs_myo_PS_se","signal_myo_mean","signal_myo_se","signal_fwd_mean","signal_fwd_se","seed_myo_mean","seed_myo_se","seed_fwd_mean","seed_fwd_se","optimal_vs_naive_mean","optimal_vs_naive_se"
0.1,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,0.5,0,101.227968155043,1.01409993437865,0.5,3.33444320434848e-17,104.726724067802,0.920926363174927,0.5,0,113.234304696127,1.53862250597093,0.5,0,104.35494676894,0.930390988552595,0.5,0,104.639366308424,0.911448132105471,0.497,0.00169633458386256,112.599661594993,1.38783261412294,0.564,0.00742857142857143,104.454155392674,0.946411069401584,0.5,0,-0.0873577593780046,0.108935002100886,-0.634643101134206,0.271245601633915,0.0992086237338336,0.119438686674401,8.5075806283247,0.957812690948663,7.9602952865685,0.732954626282815,-0.371777298862305,0.111858582052655,-0.185210915750466,0.137745724922254,11.3716934399496,0.725694608393891
0.1,0.2,50,83.5596102091809,0.733754926252761,NA,NA,106.243601908043,0.885303084368639,0.5,0,103.781706494276,1.01726984612189,0.5,3.33444320434848e-17,107.467797699724,0.92214883936349,0.5,0,116.005945008998,1.52770630247264,0.5,0,107.084139674507,0.931656197153704,0.5,0,107.475562236103,0.913710182494506,0.468,0.00342857142857143,115.48125771468,1.37862826975514,0.532,0.00696346148968797,107.182723414949,0.946970040515057,0.5,0,0.00776453637936421,0.126635718554073,-0.524687294318137,0.274481422033514,0.0985837404426076,0.120888077789176,8.53814730927468,0.942835664305149,8.00569547857718,0.70627968614787,-0.383658025216979,0.111862643397228,-0.292838821153735,0.150761745873652,11.699551220404,0.710148261743283
0.1,0.4,50,85.5641406611816,0.750180734880633,NA,NA,109.629524698255,0.888044434160457,0.5,0,106.961550704478,1.02182878835723,0.5,3.33444320434848e-17,110.872314443414,0.92473935660727,0.5,0,119.4352053534,1.51470210794131,0.5,0,110.475068718135,0.934261165690167,0.5,0,110.884553644872,0.916827841169175,0.45,0,118.996045417413,1.36620430686299,0.503,0.00774728392168929,110.584089100176,0.942701166289823,0.486,0.00495695759225642,0.0122392014580023,0.125236697796369,-0.439159935987749,0.278044966304992,0.109020382040719,0.119358722182747,8.56289090998645,0.924127003549285,8.1114917725407,0.693166485818222,-0.397245725279095,0.111770518889172,-0.300464544696377,0.145557754866718,12.034494712935,0.692381866607476
0.1,0.65,50,87.8591619470869,0.770963444613303,NA,NA,113.511990294444,0.892660943860505,0.5,0,110.616833313399,1.02798117030208,0.5,3.33444320434848e-17,114.772331451087,0.929304086648226,0.5,0,123.345530343492,1.50071234989125,0.5,0,114.361133200766,0.938789270616151,0.5,0,114.940248807662,0.92667628529758,0.423,0.00355998165553632,122.9952634443,1.35179696781438,0.475,0.00745736179207897,114.518514282447,0.9385658499586,0.4,0,0.16791735657447,0.130383685055147,-0.350266899192134,0.292545489805269,0.157381081680865,0.12561485615293,8.57319889240487,0.902581053153985,8.05501463663826,0.647551679582584,-0.411198250321121,0.111523690632381,-0.421734525214726,0.148554165405738,12.378430130901,0.661123539747758
0.1,0.95,50,90.3468931720833,0.795892289904713,NA,NA,117.726784510087,0.899637880579284,0.5,0,114.598502868892,1.03590357488055,0.5,3.33444320434848e-17,119.001814964303,0.936381656612111,0.5,0,127.564399123491,1.48686182492275,0.5,0,118.57746159202,0.945763141383667,0.5,0,119.230580823877,0.921634199400252,0.4,0.00247435829652697,127.398401154975,1.34654401037916,0.432,0.00696346148968797,118.894804039487,0.947402208419135,0.4,0,0.228765859574149,0.114003848276859,-0.165997968515893,0.290822902688749,0.317342447467171,0.123967993019466,8.56258415918843,0.879117828921749,8.16782033109839,0.652981363398987,-0.424353372282515,0.111071677479591,-0.335776784389494,0.134262780205014,12.7998982860827,0.643636252214513
1,0.05,50,81.9448407065804,0.72168700263319,NA,NA,103.51980477454,0.883893505335833,0.5,0,101.227968155043,1.01409993437865,0.5,3.33444320434848e-17,104.726724067802,0.920926363174927,0.5,0,111.460624243072,1.57329313293268,0.5,0,104.35494676894,0.930390988552595,0.5,0,104.639366308424,0.911448132105471,0.497,0.00169633458386256,110.790874037514,1.3986275658821,0.558,0.00719410189257953,104.454155392674,0.946411069401584,0.5,0,-0.0873577593780046,0.108935002100886,-0.669750205558511,0.336868691150693,0.0992086237338336,0.119438686674401,6.7339001752699,1.00980550002266,6.1515077290894,0.743777678361192,-0.371777298862305,0.111858582052655,-0.185210915750466,0.137745724922254,9.56290588247051,0.739521488385032
1,0.2,50,83.5596102091809,0.733754926252761,NA,NA,106.243601908043,0.885303084368639,0.5,0,103.781706494276,1.01726984612189,0.5,3.33444320434848e-17,107.467797699724,0.92214883936349,0.5,0,114.205021670306,1.56427793710111,0.5,0,107.084139674507,0.931656197153704,0.5,0,107.475562236103,0.913710182494506,0.468,0.00342857142857143,113.640202634826,1.38996673280924,0.538,0.00678533833545024,107.182723414949,0.946970040515057,0.5,0,0.00776453637936421,0.126635718554073,-0.564819035480494,0.341476702748561,0.0985837404426076,0.120888077789176,6.73722397058249,0.99608735168938,6.16464039872263,0.719397102022203,-0.383658025216979,0.111862643397228,-0.292838821153735,0.150761745873652,9.85849614054948,0.729457413280173
1,0.4,50,85.5641406611816,0.750180734880633,NA,NA,109.629524698255,0.888044434160457,0.5,0,106.961550704478,1.02182878835723,0.5,3.33444320434848e-17,110.872314443414,0.92473935660727,0.5,0,117.605341177993,1.55344638212615,0.5,0,110.475068718135,0.934261165690167,0.5,0,110.884553644872,0.916827841169175,0.45,0,117.140921140238,1.38030190971598,0.501,0.00662247256371387,110.584089100176,0.942701166289823,0.486,0.00495695759225642,0.0122392014580023,0.125236697796369,-0.464420037755099,0.341290562648043,0.109020382040719,0.119358722182747,6.73302673457881,0.978790687520604,6.2563674953657,0.707862859312748,-0.397245725279095,0.111770518889172,-0.300464544696377,0.145557754866718,10.17937043576,0.710381673339729
1,0.65,50,87.8591619470869,0.770963444613303,NA,NA,113.511990294444,0.892660943860505,0.5,0,110.616833313399,1.02798117030208,0.5,3.33444320434848e-17,114.772331451087,0.929304086648226,0.5,0,121.489153196563,1.54167819551974,0.5,0,114.361133200766,0.938789270616151,0.5,0,114.940248807662,0.92667628529758,0.423,0.00355998165553632,121.104576479963,1.37463465091338,0.471,0.00590572188816983,114.518514282447,0.9385658499586,0.4,0,0.16791735657447,0.130383685055147,-0.384576716599669,0.343930750658236,0.157381081680865,0.12561485615293,6.71682174547563,0.958652709895198,6.16432767230149,0.67705705712448,-0.411198250321121,0.111523690632381,-0.421734525214726,0.148554165405738,10.4877431665642,0.695940073643722
1,0.95,50,90.3468931720833,0.795892289904713,NA,NA,117.726784510087,0.899637880579284,0.5,0,114.598502868892,1.03590357488055,0.5,3.33444320434848e-17,119.001814964303,0.936381656612111,0.5,0,125.687236443307,1.52989968050888,0.5,0,118.57746159202,0.945763141383667,0.5,0,119.230580823877,0.921634199400252,0.4,0.00247435829652697,125.472674171117,1.3617082149182,0.43,0.00589015089373951,118.894804039487,0.947402208419135,0.4,0,0.228765859574149,0.114003848276859,-0.214562272190254,0.344984865929622,0.317342447467171,0.123967993019466,6.6854214790043,0.936459349313516,6.2420933472399,0.68151672595044,-0.424353372282515,0.111071677479591,-0.335776784389494,0.134262780205014,10.8741713022242,0.6807988406931
